freq,c_dest,purpose,duration,tra_mode,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,PER,N1-3,AIR,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,DOM,PER,N1-3,AIR,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,BG	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,DOM,PER,N1-3,AIR,NR,CH	: 	: 	: u	: u	: 	: u	: 	: 	: 	: u	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,CZ	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,DE	1451129 	1323246 	1093490 u	801692 u	1672320 	1154484 u	941496 u	1170381 u	: u	: u	: u	: u	336008 u
A,DOM,PER,N1-3,AIR,NR,DK	186457 	269614 b	142028 u	97656 u	284932 	190552 	: u	251378 u	: u	142706 u	134733 u	: u	: u
A,DOM,PER,N1-3,AIR,NR,EA20	5572547 	4756878 	4294158 	4433821 	5475152 	6336875 	6226517 	6578726 	3451957 	3771839 	6512168 	6580682 	5534339 
A,DOM,PER,N1-3,AIR,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,AIR,NR,EL	86542 	27720 u	48961 	69427 	50980 	63863 	68320 	53478 	30313 u	38778 	80183 	70500 	79179 
A,DOM,PER,N1-3,AIR,NR,ES	1622357 	1406057 	1318213 	1496731 b	1840164 	1968842 	2459277 	2517957 	837043 	1475916 	2274329 	3060881 	3045632 
A,DOM,PER,N1-3,AIR,NR,EU27_2020	6616407 e	5695687 e	5073105 	5321886 	6430422 	7279047 	7000301 	7527384 	3710272 	4231546 	7292537 	7349717 e	6125285 
A,DOM,PER,N1-3,AIR,NR,FI	276022 b	226510 	172156 u	190676 	208733 	218295 	226808 	218592 u	87852 u	: u	114906 u	: u	: u
A,DOM,PER,N1-3,AIR,NR,FR	1088151 	1020170 	936314 	1049924 	929916 	1336385 	1247478 	1380651 	1782294 	1443965 	2394343 	1891712 	1143370 
A,DOM,PER,N1-3,AIR,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,DOM,PER,N1-3,AIR,NR,HU	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: 
A,DOM,PER,N1-3,AIR,NR,IE	: u	: u	: u	: u	: u	: u	: u	22569 u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,AIR,NR,IT	972454 	671144 	638631 bu	725754 u	653282 u	1384263 	1100775 	1075311 	349968 u	389982 u	1034710 	776962 	650059 u
A,DOM,PER,N1-3,AIR,NR,LU	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,LV	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u
A,DOM,PER,N1-3,AIR,NR,NL	: 	: 	: u	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,DOM,PER,N1-3,AIR,NR,NO	: 	705219 	910344 	930233 	838859 	884889 	925260 	: 	: 	636091 	951015 	965444 	1072165 
