freq,c_dest,purpose,duration,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,PER,N1-3,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	2447366 	: 	2816246 	1856588 	: 	: 	: 	: 
A,DOM,PER,N1-3,ACT_INAC,NR,AT	5777112 	6314809 	6709183 	6351613 	6882323 	6764655 	7361385 	7909105 	6288046 	6677951 	9499556 	9211332 	9369123 
A,DOM,PER,N1-3,ACT_INAC,NR,BE	1489881 	1670786 	1435782 	2235671 	1698476 	2175530 b	2469676 	2782431 	2219809 	3606225 	3316240 	3403263 	3115789 
A,DOM,PER,N1-3,ACT_INAC,NR,BG	1941286 	1877711 	1855864 	1424295 	1596173 	2736847 	2335183 	2204807 	1208155 	1677700 	1967127 	2030006 	2265996 
A,DOM,PER,N1-3,ACT_INAC,NR,CH	3905121 	4450442 	3993011 	4058296 	3836856 	3968361 	3733290 	4014110 	4074610 	4555362 	4270869 	: 	: 
A,DOM,PER,N1-3,ACT_INAC,NR,CY	1074564 	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 	1282637 
A,DOM,PER,N1-3,ACT_INAC,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 	14488088 
A,DOM,PER,N1-3,ACT_INAC,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 	84913829 
A,DOM,PER,N1-3,ACT_INAC,NR,DK	17342909 	19196406 b	19511192 	19496387 	17400216 	13838114 	6588550 	12339753 	11990566 	8744466 	8456216 	7935700 	11015358 
A,DOM,PER,N1-3,ACT_INAC,NR,EE	1353968 	1386473 	2048022 	2147737 	2598912 	2599066 	3684154 	2792391 	1731058 	1784187 	2157881 	2605023 	2812746 
A,DOM,PER,N1-3,ACT_INAC,NR,EL	2658927 	1357457 	1596409 	1472529 	1337167 	1446538 	1521486 	1300699 	1162815 	1220626 	1642427 	1477438 	1432493 
A,DOM,PER,N1-3,ACT_INAC,NR,ES	83539578 	82058291 	80180124 	87944959 b	92415804 	98440678 	98481278 	96098994 	50824968 	73548911 	85395637 	87825144 	88637265 
A,DOM,PER,N1-3,ACT_INAC,NR,FI	21483338 	21219881 	20069650 	20500670 	20638135 	21196262 	20280352 	20631549 	14751971 	19653912 	17605819 	15408517 	17748819 
A,DOM,PER,N1-3,ACT_INAC,NR,FR	101090835 	99691398 	100199550 	88733645 	87141181 	99012103 	96705160 	98083414 	76759964 	99745216 	109412243 	116570701 	106309683 
A,DOM,PER,N1-3,ACT_INAC,NR,HR	3028091 	3169156 	2862996 	1858851 	1318717 	1232553 	1381835 	1753025 	1246294 	1504046 	1446080 	1687033 	1955682 
A,DOM,PER,N1-3,ACT_INAC,NR,HU	10404311 	8283007 	9005826 	9178335 	8787343 	8967808 	8667609 	8715121 	5314714 	6036837 	8005428 	7938366 	7984602 
A,DOM,PER,N1-3,ACT_INAC,NR,IE	4989593 	4985981 	5301522 	5412039 	5655671 	5987283 	6883462 	7206159 	4500025 	3249162 	8286955 	7760878 	10986799 
A,DOM,PER,N1-3,ACT_INAC,NR,IT	22914818 	17616095 	19635800 b	18822480 	22957185 	20992374 	25693619 	21583168 	12639567 	11956283 	16535282 	14983171 	13113295 
A,DOM,PER,N1-3,ACT_INAC,NR,LT	1800988 	1772756 	1859041 	1894224 	1809246 	1801918 	1892208 	2040226 	1759632 	2329937 	2751614 	2986346 	3626300 
A,DOM,PER,N1-3,ACT_INAC,NR,LU	38128 	48074 	20175 	11722 u	11417 u	22540 	28005 	23425 	111457 	116073 	118096 	152744 	105266 
A,DOM,PER,N1-3,ACT_INAC,NR,LV	3269376 	2709534 	2719511 	2576756 	2727693 	2589575 	2270410 	2161385 	1073253 	2024280 	2476484 	2521166 	2717952 
A,DOM,PER,N1-3,ACT_INAC,NR,ME	: 	: 	: 	: 	527043 	542721 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	83307 	146164 	125247 	: 	: 	: 
A,DOM,PER,N1-3,ACT_INAC,NR,MT	165635 	164188 	165919 b	169306 	259064 	211062 	196795 	189763 	281538 	295777 	288728 	358537 	357609 
A,DOM,PER,N1-3,ACT_INAC,NR,NL	19655079 	17539840 	17024512 	16157006 	16194798 	16171800 	15301700 	15654877 	12640948 	21041260 	14008073 	14430602 	15006279 
A,DOM,PER,N1-3,ACT_INAC,NR,NO	: 	6567323 	8174748 	7498071 	7541954 	7834014 	11817151 	: 	: 	12601211 	12826238 	12544320 	14496264 
A,DOM,PER,N1-3,ACT_INAC,NR,PL	23553957 	22771087 	22452085 b	23295558 	25434026 	26732292 	27682552 	28717731 	21599773 	25626943 	28760173 	29551317 	29756298 
A,DOM,PER,N1-3,ACT_INAC,NR,PT	8657057 	8875773 	9029729 	9457829 	9864400 	10748717 	11160830 	12160278 	7222409 	8668857 	11293061 	11688033 	11209901 
A,DOM,PER,N1-3,ACT_INAC,NR,RO	9618923 	10284515 	10260473 	10027943 	10451315 	11011671 	10950951 	10928668 	6991039 	10416599 	10732734 	12705847 	12007804 
A,DOM,PER,N1-3,ACT_INAC,NR,RS	: 	: 	: 	: 	: 	: 	460414 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,ACT_INAC,NR,SE	: 	: 	17769462 	20128632 	20044477 	20664989 	20524562 	20742462 	32588480 	32883658 	37488826 	: 	39505873 
A,DOM,PER,N1-3,ACT_INAC,NR,SI	1603955 	1567992 	1472051 	1127833 	1254837 	1416660 	1560193 	1248643 	806440 	2410037 	2034708 	2730991 	2601103 
A,DOM,PER,N1-3,ACT_INAC,NR,SK	1890993 	2666527 b	2811721 	3317069 	4193045 	4440135 	4879430 	5249407 	2993088 	3199897 	5001765 	5104940 	5027570 
A,DOM,PER,N1-3,ACT_INAC,NR,UK	66096023 	64927148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,AL	: 	: 	: 	: 	: 	286633 	: 	283371 	198309 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,AT	673507 	812670 	711188 	620787 	821635 	740053 	772145 	974550 	601772 	767870 	1020338 	946111 	934044 
A,DOM,PER,N1-3,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	285673 	259399 	232968 	271994 
A,DOM,PER,N1-3,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	173958 	204232 	210193 	270323 
A,DOM,PER,N1-3,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	2670883 	2903833 	1828480 	1772707 	1668867 	2238476 
A,DOM,PER,N1-3,EDUC,NR,EE	106689 	138301 	305455 	197604 	230965 	305438 	430432 	332744 	158072 	204073 	233372 	273156 	346206 
A,DOM,PER,N1-3,EDUC,NR,ES	7411356 	7728073 	6880223 	7172294 b	9627550 	10364232 	9951209 	9343694 	6691540 	9295620 	7403236 	5391501 	8301800 
A,DOM,PER,N1-3,EDUC,NR,FI	3962025 	3476055 	3431738 	3547591 	3362109 	3507152 	3530625 	3234464 	2268232 	3131214 	2628660 	2031315 	2160695 
A,DOM,PER,N1-3,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	5413718 	6285374 	7464577 	15690533 	12485521 
A,DOM,PER,N1-3,EDUC,NR,HR	: 	: 	578448 	257054 	: 	202536 	: 	200608 	141247 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,HU	: 	: 	: 	820628 	876602 	823782 	883931 	956633 	519345 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,LU	20049 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,LV	333944 	261799 	234524 	179112 	280839 	186545 	198093 	193265 	50176 u	202717 	173724 	169240 	179362 
A,DOM,PER,N1-3,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	8457 u	15543 u	15119 u	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,MT	: 	: 	: 	19679 	57049 	: 	: 	18343 	28101 	20042 	15880 	19130 	21612 
A,DOM,PER,N1-3,EDUC,NR,NL	2799781 	2936703 	2534020 	2180638 	2344525 	2618136 	1911252 	1795414 	1547325 	3629762 	1982724 	2007497 	2173329 
A,DOM,PER,N1-3,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	569703 
A,DOM,PER,N1-3,EDUC,NR,PT	648779 	696095 	: 	909754 	822620 	331543 	893397 	1122226 	708888 	733299 	1002371 	28042 u	1062459 
A,DOM,PER,N1-3,EDUC,NR,RO	1110164 	983480 	1050421 	959171 	976193 	1102363 	1068624 	1037722 	638885 	1037430 	1018137 	2315329 	2229848 
A,DOM,PER,N1-3,EDUC,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,EDUC,NR,SI	247837 	267457 	240232 	99894 	139953 	: 	: 	: 	: 	284912 	226059 	389558 	336161 
A,DOM,PER,N1-3,EMP,NR,AL	: 	: 	: 	: 	: 	1221162 	: 	1480500 	925821 	: 	: 	: 	: 
A,DOM,PER,N1-3,EMP,NR,AT	3669396 	4111371 	4556952 	4126937 	4452237 	4497964 	5071741 	5049846 	4430937 	4620898 	6800229 	6049868 	5911539 
A,DOM,PER,N1-3,EMP,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2584493 	2264788 	2302193 	2155140 
A,DOM,PER,N1-3,EMP,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	1245296 	1492879 	1471900 	1583447 
A,DOM,PER,N1-3,EMP,NR,DK	: 	: 	: 	: 	: 	: 	: 	7199663 	6651892 	5116985 	4811018 	4431379 	6441074 
A,DOM,PER,N1-3,EMP,NR,EE	1010161 	1003999 	1348700 	1570234 	1941137 	1878755 	2657608 	1974899 	1249808 	1269724 	1598218 	1868295 	1974252 
A,DOM,PER,N1-3,EMP,NR,ES	49538334 	47653644 	46854745 	53186382 b	56282357 	59965451 	61469365 	58368229 	30500147 	44804145 	55810234 	59435052 	55289236 
A,DOM,PER,N1-3,EMP,NR,FI	12383287 	12826068 	11635107 	11703039 	11877840 	12652253 	11803976 	12342913 	9153408 	12124961 	10999247 	9642436 	10777465 
A,DOM,PER,N1-3,EMP,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	52369532 	63511724 	66356240 	75636592 	70998310 
A,DOM,PER,N1-3,EMP,NR,HR	: 	: 	1361973 	922021 	: 	701857 	: 	1074904 	787835 	: 	: 	: 	: 
A,DOM,PER,N1-3,EMP,NR,HU	: 	: 	: 	5638093 	5255279 	5718416 	5495175 	5432976 	3578671 	: 	: 	: 	: 
A,DOM,PER,N1-3,EMP,NR,LU	11995 u	: 	: 	: 	: 	: 	: 	10768 u	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,EMP,NR,LV	2161751 	1787805 	1898793 	1831801 	1860117 	1915182 	1664331 	1596316 	862381 	1527309 	1877292 	1954243 	2102549 
A,DOM,PER,N1-3,EMP,NR,MK	: 	: 	: 	: 	: 	: 	: 	50939 	104023 	82687 	: 	: 	: 
A,DOM,PER,N1-3,EMP,NR,MT	: 	: 	: 	99592 	158386 	: 	: 	130597 	213324 	228801 	209826 	262963 	258573 
A,DOM,PER,N1-3,EMP,NR,NL	10847515 	9709692 	9318517 	9221784 	9201005 	9307994 	9265978 	9181933 	8025725 	12697578 	8395526 	8699324 	8991426 
A,DOM,PER,N1-3,EMP,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10161818 
A,DOM,PER,N1-3,EMP,NR,PT	5142257 	4100466 	: 	5382636 	5725040 	2367892 	7014672 	7501424 	4642971 	5432166 	7123085 	148352 	7209900 
A,DOM,PER,N1-3,EMP,NR,RO	6219244 	6904842 	6943973 	6715110 	7142945 	7354713 	7596746 	7569553 	5089894 	7291963 	7665538 	8038617 	7666478 
A,DOM,PER,N1-3,EMP,NR,RS	: 	: 	: 	: 	: 	: 	329591 	: 	: 	: 	: 	: 	: 
