freq,c_dest,purpose,duration,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,PER,N1-3,EMP,NR,SI	916936 	853162 	779003 	627794 	672589 	: 	: 	: 	: 	1666901 	1446814 	1805931 	1812262 
A,DOM,PER,N1-3,INAC_OTH,NR,AL	: 	: 	: 	: 	: 	444523 	: 	600410 	367137 	: 	: 	: 	: 
A,DOM,PER,N1-3,INAC_OTH,NR,AT	1362384 	1288179 	1351624 	1499167 	1518471 	1453928 	1410589 	1738167 	1083125 	1141169 	1569088 	2083486 	2236892 
A,DOM,PER,N1-3,INAC_OTH,NR,BE	1489881 	1670786 	1435782 	2235671 	1698476 	2175530 b	2469676 	2782431 	2219809 	683456 	725663 	775357 	640021 
A,DOM,PER,N1-3,INAC_OTH,NR,BG	1941286 	1877711 	1855864 	1424295 	1596173 	2736847 	2335183 	2204807 	1208155 	205076 	223183 	287037 	341738 
A,DOM,PER,N1-3,INAC_OTH,NR,CH	3905121 	4450442 	3993011 	4058296 	3836856 	3968361 	3733290 	4014110 	4074610 	4555362 	4270869 	: 	: 
A,DOM,PER,N1-3,INAC_OTH,NR,CY	1074564 	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 	1282637 
A,DOM,PER,N1-3,INAC_OTH,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 	14488088 
A,DOM,PER,N1-3,INAC_OTH,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 	84913829 
A,DOM,PER,N1-3,INAC_OTH,NR,DK	17342909 	19196406 b	19511192 	19496387 	17400216 	13838114 	6588550 	2303521 	2243010 	1643373 	1758374 	1743325 	2207454 
A,DOM,PER,N1-3,INAC_OTH,NR,EE	157756 	184365 	317539 	318489 	363595 	356340 	476735 	418543 	230596 	237214 	248447 	351613 	388286 
A,DOM,PER,N1-3,INAC_OTH,NR,EL	2658927 	1357457 	1596409 	1472529 	1337167 	1446538 	1521486 	1300699 	1162815 	1220626 	1642427 	1477438 	1432493 
A,DOM,PER,N1-3,INAC_OTH,NR,ES	18447831 	17934899 	19114703 	15482304 b	16392145 	18501177 	19007693 	20241447 	8666728 	12787902 	16056574 	16131341 	18081669 
A,DOM,PER,N1-3,INAC_OTH,NR,FI	4424047 	4075921 	4086208 	4178286 	4367224 	4177670 	4354030 	4354799 	2682089 	3585749 	3500111 	3325031 	4164562 
A,DOM,PER,N1-3,INAC_OTH,NR,FR	101090835 	99691398 	100199550 	88733645 	87141181 	99012103 	96705160 	98083414 	18344378 	29320276 	34899467 	24155916 	21811871 
A,DOM,PER,N1-3,INAC_OTH,NR,HR	3028091 	3169156 	531459 	351439 	1318717 	210512 	1381835 	288083 	164985 	1504046 	1446080 	1687033 	1955682 
A,DOM,PER,N1-3,INAC_OTH,NR,HU	10404311 	8283007 	9005826 	2498652 	2457088 	2339248 	2223670 	2268080 	1149441 	6036837 	8005428 	7938366 	7984602 
A,DOM,PER,N1-3,INAC_OTH,NR,IE	4989593 	4985981 	5301522 	5412039 	5655671 	5987283 	6883462 	7206159 	4500025 	3249162 	8286955 	7760878 	10986799 
A,DOM,PER,N1-3,INAC_OTH,NR,IT	22914818 	17616095 	19635800 b	18822480 	22957185 	20992374 	25693619 	21583168 	12639567 	11956283 	16535282 	14983171 	13113295 
A,DOM,PER,N1-3,INAC_OTH,NR,LT	1800988 	1772756 	1859041 	1894224 	1809246 	1801918 	1892208 	2040226 	1759632 	2329937 	2751614 	2986346 	3626300 
A,DOM,PER,N1-3,INAC_OTH,NR,LU	: u	48074 	20175 	11722 u	11417 u	22540 	28005 	: u	111457 	116073 	118096 	152744 	105266 
A,DOM,PER,N1-3,INAC_OTH,NR,LV	514569 	430836 	414755 	432578 	395412 	366048 	330552 	304865 	105966 	229480 	331153 	301099 	344901 
A,DOM,PER,N1-3,INAC_OTH,NR,ME	: 	: 	: 	: 	527043 	542721 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,INAC_OTH,NR,MK	: 	: 	: 	: 	: 	: 	: 	15836 	11485 u	18696 u	: 	: 	: 
A,DOM,PER,N1-3,INAC_OTH,NR,MT	165635 	164188 	165919 b	47219 	40075 	211062 	196795 	36844 	37916 	44615 	60266 	70558 	73557 
A,DOM,PER,N1-3,INAC_OTH,NR,NL	4542386 	3714914 	3759226 	3514799 	3372245 	3590058 	3598290 	4054455 	2601292 	4250982 	3405251 	3537158 	3458234 
A,DOM,PER,N1-3,INAC_OTH,NR,NO	: 	6567323 	8174748 	7498071 	7541954 	7834014 	11817151 	: 	: 	12601211 	12826238 	12544320 	3308157 
A,DOM,PER,N1-3,INAC_OTH,NR,PL	23553957 	22771087 	22452085 b	23295558 	25434026 	26732292 	27682552 	28717731 	21599773 	25626943 	28760173 	29551317 	29756298 
A,DOM,PER,N1-3,INAC_OTH,NR,PT	2117122 	3348488 	9029729 	2521200 	2623859 	7862765 	2637326 	3105392 	1550881 	2053271 	2628834 	11504080 	2587739 
A,DOM,PER,N1-3,INAC_OTH,NR,RO	2059298 	2134241 	2076417 	2198552 	2181531 	2431629 	2207650 	2252855 	1194734 	1984607 	1969504 	2265472 	2009470 
A,DOM,PER,N1-3,INAC_OTH,NR,RS	: 	: 	: 	: 	: 	: 	67361 u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,INAC_OTH,NR,SE	: 	: 	17769462 	20128632 	20044477 	20664989 	20524562 	20742462 	32588480 	32883658 	37488826 	: 	39505873 
A,DOM,PER,N1-3,INAC_OTH,NR,SI	318568 	306779 	328063 	341846 	331027 	1416660 	1560193 	1248643 	806440 	389818 	313136 	451567 	416543 
A,DOM,PER,N1-3,INAC_OTH,NR,SK	1890993 	2666527 b	2811721 	3317069 	4193045 	4440135 	4879430 	5249407 	2993088 	3199897 	5001765 	5104940 	5027570 
A,DOM,PER,N1-3,INAC_OTH,NR,UK	66096023 	64927148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,AL	: 	: 	: 	: 	: 	495048 	: 	451965 	365321 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,AT	71825 u	102589 u	89420 u	104722 u	89979 u	72711 u	106911 u	146542 	172212 	148015 	109901 u	131867 	286649 
A,DOM,PER,N1-3,UNE,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	52603 u	66390 u	92746 u	: u
A,DOM,PER,N1-3,UNE,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	53370 u	46832 u	60877 u	70489 u
A,DOM,PER,N1-3,UNE,NR,DK	: 	: 	: 	: 	: 	: 	: 	165687 u	191831 u	155628 u	114117 u	: u	128354 u
A,DOM,PER,N1-3,UNE,NR,EE	79362 u	59808 	76327 	61410 	63215 u	58533 u	119380 u	66205 u	92582 u	73176 u	77843 u	111960 	104002 
A,DOM,PER,N1-3,UNE,NR,ES	8142056 	8741676 	7330453 	12103979 b	10113752 	9609819 	8053012 	8145624 	4966553 	6661244 	6125593 	6867251 	6964559 
A,DOM,PER,N1-3,UNE,NR,FI	713979 	841838 	916597 	1071753 	1030962 	859187 	591721 	699372 	648242 	811987 	477800 	409736 	646097 
A,DOM,PER,N1-3,UNE,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	632335 	627842 	691958 	1087661 	1013981 
A,DOM,PER,N1-3,UNE,NR,HR	: 	: 	391117 	328338 	: 	117649 	: 	189429 	152226 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,HU	: 	: 	: 	220962 	198374 	86362 	64833 	57432 	67257 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,LU	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,LV	259112 	229093 	171439 	133266 	191325 	121800 	77434 u	66939 u	54730 u	64775 u	94316 	96583 	91140 
A,DOM,PER,N1-3,UNE,NR,MK	: 	: 	: 	: 	: 	: 	: 	8075 u	15114 u	8744 u	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,MT	: 	: 	: 	: u	: u	: 	: 	3978 u	: u	: u	: u	: u	: u
A,DOM,PER,N1-3,UNE,NR,NL	1465397 	1178531 	1412749 	1239785 	1277023 	655611 	526180 	623076 	466606 	462938 	224573 	186623 	383290 
A,DOM,PER,N1-3,UNE,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	456586 
A,DOM,PER,N1-3,UNE,NR,PT	748899 	730725 	: 	644240 	692880 	186517 	615435 	431236 	319668 	450121 	538770 	: u	349803 
A,DOM,PER,N1-3,UNE,NR,RO	230217 	261952 	189663 	155110 	150645 	122965 	77931 	68538 	67525 	102599 	79556 	86430 u	102007 u
A,DOM,PER,N1-3,UNE,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNE,NR,SI	120613 	140594 	124752 	58299 u	111268 	: 	: 	: 	: 	68405 	48698 	83936 	36137 u
A,DOM,PER,N_GE1,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	3265076 	: 	4138649 	2885810 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ACT_INAC,NR,AT	9015192 	9682051 	9573164 	9197692 	10063508 	9848564 	10600577 	11130760 	9377351 	9575501 	12691914 	12713939 	13031182 
A,DOM,PER,N_GE1,ACT_INAC,NR,BE	2485447 	2574641 	2202277 	3133218 	2820302 	2950834 b	3575837 	3885050 	3307409 	5231677 	4458077 	4569951 	4428659 
A,DOM,PER,N_GE1,ACT_INAC,NR,BG	3006110 	3259295 	3012004 	2430637 	2874771 	4570877 	4011329 	3696975 	2236618 	2905574 	3329662 	3579469 	3824014 
A,DOM,PER,N_GE1,ACT_INAC,NR,CH	6225061 	6820128 	6312438 	6068426 	5986118 	6378939 	6024762 	6157354 	6984066 	7329393 	6827685 	: 	: 
A,DOM,PER,N_GE1,ACT_INAC,NR,CY	1336115 	1263806 	1272010 	1281176 	1359130 	1383643 	1554102 	1615335 	1687270 	1859997 	1663520 	1534148 	1594579 
A,DOM,PER,N_GE1,ACT_INAC,NR,CZ	25986952 	24304012 	26196815 	23287272 	26055631 	28156048 	26333712 	26713605 	20410535 	22318665 	25512862 	19683158 	20935930 
A,DOM,PER,N_GE1,ACT_INAC,NR,DE	130076882 	130818258 	123741073 	135503132 	132778475 	121708947 	128567763 	129706082 	93113952 	111164786 	111744238 	122765534 	135358906 
A,DOM,PER,N_GE1,ACT_INAC,NR,DK	20437399 	22215862 b	22904453 	22821994 	20455167 	17083300 	9779548 	16770766 	16300297 	12059300 	10957040 	10312845 	14642929 
A,DOM,PER,N_GE1,ACT_INAC,NR,EE	1603942 	1556379 	2256060 	2382651 	2826552 	2870377 	3953918 	3075386 	1945581 	2060150 	2386289 	2872860 	3089485 
A,DOM,PER,N_GE1,ACT_INAC,NR,EL	6257327 	4615278 	5340341 	4841429 	4590494 	5296423 	5523864 	4941570 	4331617 	4707635 	5801776 	5750698 	5974629 
A,DOM,PER,N_GE1,ACT_INAC,NR,ES	115084699 	113318596 	110258727 	118297495 b	125026932 	131951376 	132197448 	130466828 	72183172 	103596697 	119294004 	124108495 	124479386 
A,DOM,PER,N_GE1,ACT_INAC,NR,FI	26771129 	26527497 	25208829 	25721202 	25928616 	26383669 	25680851 	25730325 	21376797 	27733046 	24554786 	21382100 	23993400 
A,DOM,PER,N_GE1,ACT_INAC,NR,FR	181517827 	181318156 	181739243 	161944418 	158642404 	171703705 	169898972 	167416819 	138761656 	170750325 	182848255 	188622147 	176687373 
A,DOM,PER,N_GE1,ACT_INAC,NR,HR	5111093 	5350704 	4623508 	3587698 	2546275 	2552192 	2773051 	3299734 	2356500 	3020049 	2896371 	3274482 	3585262 
A,DOM,PER,N_GE1,ACT_INAC,NR,HU	13990742 	11608394 	12258070 	12300783 	11778710 	11872352 	11688652 	11772996 	7390621 	8318439 	10387963 	10588615 	10614971 
A,DOM,PER,N_GE1,ACT_INAC,NR,IE	6108903 	6194266 	6450941 	6522160 	6828674 	7150319 	8131211 	8572179 	5842327 	4286713 	9997559 	9226521 	12932436 
A,DOM,PER,N_GE1,ACT_INAC,NR,IT	43131050 	36476703 	37222958 b	35319955 	42018881 	40828133 	47342452 	41739584 	26968451 	29920509 	35009014 	32460371 	29703874 
A,DOM,PER,N_GE1,ACT_INAC,NR,LT	2204661 	2271439 	2316241 	2321616 	2217373 	2204722 	2309271 	2455569 	2132238 	2724561 	3157715 	3432288 	4073211 
A,DOM,PER,N_GE1,ACT_INAC,NR,LU	43172 	52594 	25440 	20128 	17905 u	32758 	35329 	28524 	136492 	147815 	157817 	190008 	138916 
A,DOM,PER,N_GE1,ACT_INAC,NR,LV	3635701 	3014573 	3172774 	2885025 	3018022 	2860265 	2529767 	2467149 	1328766 	2359927 	2765136 	2853940 	3025828 
A,DOM,PER,N_GE1,ACT_INAC,NR,ME	: 	: 	: 	: 	879042 	840169 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	164557 	208502 	206566 	: 	: 	: 
A,DOM,PER,N_GE1,ACT_INAC,NR,MT	200378 	184940 	195981 b	200523 	303068 	253037 	238144 	227087 	350349 	374465 	356998 	429382 	423683 
A,DOM,PER,N_GE1,ACT_INAC,NR,NL	27526206 	24795926 	23930647 	23190661 	23476507 	23132997 	22227331 	23001935 	20040720 	30399210 	20505457 	20939844 	21066625 
A,DOM,PER,N_GE1,ACT_INAC,NR,NO	: 	9600572 	11665409 	10692386 	10819903 	11390699 	15715482 	: 	: 	18564384 	18378468 	17914864 	19862883 
A,DOM,PER,N_GE1,ACT_INAC,NR,PL	38586107 	38986942 	37125204 b	38594696 	42136806 	44283457 	46025075 	48286746 	37273362 	44842585 	49956185 	50248366 	50678415 
A,DOM,PER,N_GE1,ACT_INAC,NR,PT	11845548 	12663903 	12163810 	12971180 	13163262 	14507722 	14912948 	16507381 	10956352 	12973167 	15588157 	16026892 	15467400 
A,DOM,PER,N_GE1,ACT_INAC,NR,RO	15639388 	16223234 	15832902 	15058724 	15715863 	16208095 	16577475 	17186651 	11014763 	16052660 	16414569 	19090066 	18786204 
A,DOM,PER,N_GE1,ACT_INAC,NR,RS	: 	: 	: 	: 	: 	: 	859890 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ACT_INAC,NR,SE	: 	: 	23883797 	27142419 	26794765 	30633391 	29456981 	30364188 	44202358 	45945943 	52335074 	: 	52895795 
A,DOM,PER,N_GE1,ACT_INAC,NR,SI	1974899 	1922972 	1795116 	1452035 	1619148 	1720582 	1878491 	1590073 	1203862 	3049090 	2567352 	3251593 	3118514 
A,DOM,PER,N_GE1,ACT_INAC,NR,SK	3582368 	3838923 b	4090223 	4736851 	5824208 	6180313 	6894612 	7655585 	4161984 	4536024 	6755240 	7056757 	6867891 
A,DOM,PER,N_GE1,ACT_INAC,NR,UK	91533096 	89470707 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,EDUC,NR,AL	: 	: 	: 	: 	: 	441475 	: 	425778 	356100 	: 	: 	: 	: 
