freq,c_dest,purpose,duration,unit,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
A,AFR,PER,N_GE1,NR,BE,4182871.0,7470024.0,5655249.0,6975349.0,4546399.0,6637681.0,7218728.0,8676942.0,3448056.0,3520803.0,7414706.0,8715614.0,12554351.0
A,AFR,PER,N_GE1,NR,DE,26826257.0,33709675.0,38347653.0,30264167.0,25713472.0,42641813.0,53207799.0,43970944.0,8611317.0,14919020.0,22232428.0,31962794.0,49902708.0
A,AFR,PER,N_GE1,NR,EA20,90685992.0,99159995.0,103831475.0,93804769.0,71782246.0,99683852.0,117286513.0,113976385.0,29142586.0,42944630.0,87341554.0,117598304.0,139760826.0
A,AFR,PER,N_GE1,NR,ES,9951561.0,11015249.0,10431593.0,8637103.0,12204749.0,13326118.0,13987973.0,10808073.0,2379100.0,6821497.0,14465720.0,20995767.0,22520122.0
A,AFR,PER,N_GE1,NR,EU27_2020,101774148.0,108236499.0,113462188.0,102323239.0,79831716.0,111429616.0,127127693.0,126304627.0,32044215.0,47142298.0,97599416.0,128944956.0,157948719.0
A,AFR,PER,N_GE1,NR,FR,26151898.0,27428065.0,22972897.0,17361254.0,16017235.0,19531308.0,23347134.0,23772837.0,8177445.0,6256110.0,20133874.0,29000654.0,26101587.0
A,AFR,PER,N_GE1,NR,HU,543071.0,564413.0,511872.0,326596.0,252510.0,565938.0,456559.0,1030254.0,90766.0,320459.0,511381.0,600000.0,909529.0
A,AFR,PER,N_GE1,NR,LT,186256.0,157743.0,306949.0,243781.0,240821.0,350541.0,569916.0,588941.0,177013.0,226153.0,562634.0,595114.0,562086.0
A,AFR,PER,N_GE1,NR,LU,413633.0,493008.0,439149.0,317081.0,347962.0,481717.0,454746.0,469460.0,265793.0,457217.0,843265.0,946293.0,846868.0
A,AFR,PER,N_GE1,NR,NL,6860639.0,6032648.0,6218027.0,5425599.0,4485143.0,7152866.0,6821786.0,7200720.0,1616720.0,1937809.0,6196732.0,7102738.0,8551820.0
A,AFR,PER,N_GE1,NR,PL,3472968.0,2997702.0,3704511.0,3775372.0,1880078.0,2211132.0,2694926.0,2945067.0,646992.0,1206958.0,2568497.0,3629072.0,5002048.0
A,AFR,PER,N_GE1,NR,PT,620367.0,1080348.0,734257.0,724558.0,577245.0,756115.0,1500963.0,1037239.0,278185.0,385823.0,1454172.0,1497344.0,1848627.0
A,AFR,PER,N_GE4,NR,BE,4164612.0,7453783.0,5639167.0,6971870.0,4525388.0,6559236.0,7145665.0,8610741.0,3435371.0,3512074.0,7369804.0,8679791.0,12513604.0
A,AFR,PER,N_GE4,NR,DE,26826257.0,33453666.0,38248784.0,30148705.0,25713472.0,42359177.0,53207799.0,43830296.0,8611317.0,14769587.0,21990132.0,31860384.0,49869701.0
A,AFR,PER,N_GE4,NR,EA20,90044837.0,98312901.0,103032442.0,93139023.0,71149680.0,98684514.0,116567287.0,112933565.0,28970210.0,42696920.0,86413853.0,116168543.0,138219743.0
A,AFR,PER,N_GE4,NR,ES,9578828.0,10726290.0,10067258.0,8399691.0,11880038.0,12955800.0,13647376.0,10439602.0,2342614.0,6810926.0,14172104.0,20670434.0,21915294.0
A,AFR,PER,N_GE4,NR,EU27_2020,101114970.0,107380824.0,112649050.0,101638926.0,79195088.0,110394088.0,126369742.0,125195859.0,31846219.0,46894587.0,96668788.0,127508621.0,156206260.0
A,AFR,PER,N_GE4,NR,FR,25974347.0,27335946.0,22830168.0,17273604.0,15935407.0,19385169.0,23100211.0,23467528.0,8086946.0,6192389.0,19933857.0,28357293.0,25520834.0
