c_dest,purpose,duration,tra_mode,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
DOM,PER,N1-3,AIR,EA20,5572547.0,4756878.0,4294158.0,4433821.0,5475152.0,6336875.0,6226517.0,6578726.0,3451957.0,3771839.0,6512168.0,6580682.0,5534339.0
DOM,PER,N1-3,AIR,EL,86542.0,27720.0,48961.0,69427.0,50980.0,63863.0,68320.0,53478.0,30313.0,38778.0,80183.0,70500.0,79179.0
DOM,PER,N1-3,AIR,ES,1622357.0,1406057.0,1318213.0,1496731.0,1840164.0,1968842.0,2459277.0,2517957.0,837043.0,1475916.0,2274329.0,3060881.0,3045632.0
DOM,PER,N1-3,AIR,EU27_2020,6616407.0,5695687.0,5073105.0,5321886.0,6430422.0,7279047.0,7000301.0,7527384.0,3710272.0,4231546.0,7292537.0,7349717.0,6125285.0
DOM,PER,N1-3,AIR,FR,1088151.0,1020170.0,936314.0,1049924.0,929916.0,1336385.0,1247478.0,1380651.0,1782294.0,1443965.0,2394343.0,1891712.0,1143370.0
DOM,PER,N1-3,AIR,IT,972454.0,671144.0,638631.0,725754.0,653282.0,1384263.0,1100775.0,1075311.0,349968.0,389982.0,1034710.0,776962.0,650059.0
DOM,PER,N1-3,AIR,PT,32753.0,50871.0,45548.0,73259.0,96405.0,161347.0,140265.0,126309.0,52916.0,78682.0,144201.0,167458.0,186266.0
DOM,PER,N1-3,BUS,AT,267038.0,242279.0,250460.0,283850.0,351362.0,316326.0,342106.0,316449.0,103381.0,126339.0,306316.0,286486.0,280344.0
DOM,PER,N1-3,BUS,BG,477511.0,350654.0,339762.0,229616.0,299223.0,391768.0,340792.0,338681.0,117212.0,170299.0,185836.0,208253.0,223184.0
DOM,PER,N1-3,BUS,CZ,1718189.0,1796211.0,1261758.0,1391137.0,1086389.0,1330462.0,998446.0,957847.0,557232.0,744439.0,880265.0,550073.0,744246.0
DOM,PER,N1-3,BUS,DE,2130946.0,3562004.0,3660895.0,4966650.0,5448547.0,4009797.0,3803034.0,3257300.0,840509.0,1493109.0,1132842.0,1495478.0,1630326.0
DOM,PER,N1-3,BUS,DK,894103.0,834028.0,908202.0,840285.0,1185889.0,759063.0,294591.0,1027255.0,489191.0,307929.0,384065.0,411377.0,527197.0
DOM,PER,N1-3,BUS,EA20,12436330.0,13329365.0,13937669.0,16773496.0,17075063.0,18005320.0,16799241.0,17002558.0,7026355.0,8963768.0,12754702.0,12198017.0,13064908.0
DOM,PER,N1-3,BUS,EE,312676.0,233670.0,444247.0,325983.0,315809.0,398697.0,543248.0,438361.0,123130.0,183809.0,244368.0,311148.0,365848.0
DOM,PER,N1-3,BUS,EL,230984.0,126312.0,195847.0,180234.0,155429.0,165175.0,175583.0,159503.0,47327.0,45780.0,150786.0,98200.0,101734.0
DOM,PER,N1-3,BUS,ES,2955212.0,3145303.0,2899725.0,4587613.0,4609924.0,5434507.0,5293686.0,5352416.0,2219438.0,3376933.0,4389595.0,3965845.0,4839994.0
DOM,PER,N1-3,BUS,EU27_2020,26111593.0,24091859.0,25839838.0,28097852.0,28515888.0,28916375.0,26406478.0,27020619.0,12780460.0,15042669.0,21073567.0,20421908.0,21151503.0
DOM,PER,N1-3,BUS,FI,1069221.0,1156878.0,1255707.0,1661477.0,1707676.0,1885936.0,1365601.0,1681123.0,572609.0,696080.0,952364.0,924660.0,1251302.0
DOM,PER,N1-3,BUS,FR,1308795.0,1221158.0,1252108.0,1139837.0,1252334.0,2028497.0,2033316.0,2022449.0,1902943.0,1496237.0,2675808.0,2468557.0,1895668.0
DOM,PER,N1-3,BUS,HR,490963.0,520432.0,452123.0,276147.0,222816.0,190746.0,186887.0,220103.0,86754.0,78920.0,118573.0,154472.0,154741.0
DOM,PER,N1-3,BUS,HU,1817458.0,1417666.0,1614145.0,1347677.0,1175334.0,1069587.0,1052669.0,965211.0,373309.0,377917.0,501450.0,498147.0,497974.0
DOM,PER,N1-3,BUS,IT,1198144.0,910180.0,1027584.0,1316273.0,973034.0,1380831.0,900635.0,1322004.0,281558.0,340107.0,564141.0,470799.0,357661.0
DOM,PER,N1-3,BUS,LT,213445.0,173878.0,250210.0,197576.0,219491.0,215791.0,273123.0,281140.0,133225.0,201041.0,247382.0,274380.0,281289.0
DOM,PER,N1-3,BUS,LV,608106.0,469354.0,448132.0,371732.0,371207.0,353004.0,228708.0,260288.0,76807.0,130101.0,203178.0,194664.0,233416.0
DOM,PER,N1-3,BUS,NL,347713.0,476589.0,424076.0,294022.0,308737.0,355140.0,299370.0,355623.0,183023.0,193097.0,168714.0,148663.0,168006.0
DOM,PER,N1-3,BUS,PL,3201704.0,2550902.0,3978723.0,3985843.0,3925507.0,4141777.0,3959917.0,3816303.0,2027070.0,2434515.0,2896692.0,2844310.0,2663831.0
