c_resid,nace_r2,month,geo,2020 ,2021 ,2022 ,2023 ,2024 
DOM,I551-I553,M01,AL,61323.0,32126.0,60257.0,57670.0,74949.0
DOM,I551-I553,M01,AL0,61323.0,32126.0,60257.0,57670.0,74949.0
DOM,I551-I553,M01,AL01,9219.0,7041.0,18196.0,15737.0,14188.0
DOM,I551-I553,M01,AL02,37337.0,9394.0,22073.0,21035.0,34510.0
DOM,I551-I553,M01,AL03,14767.0,15691.0,19988.0,20898.0,26251.0
DOM,I551-I553,M01,AT,2682413.0,522608.0,2029905.0,2540104.0,2636364.0
DOM,I551-I553,M01,AT1,607340.0,173787.0,387518.0,555167.0,591708.0
DOM,I551-I553,M01,AT11,121829.0,25233.0,97463.0,114990.0,122735.0
DOM,I551-I553,M01,AT12,292235.0,116639.0,205791.0,264320.0,263513.0
DOM,I551-I553,M01,AT13,193276.0,31915.0,84264.0,175857.0,205460.0
DOM,I551-I553,M01,AT2,787045.0,147198.0,677680.0,763503.0,761317.0
DOM,I551-I553,M01,AT21,241008.0,61573.0,229305.0,246172.0,241571.0
DOM,I551-I553,M01,AT22,546037.0,85625.0,448375.0,517331.0,519746.0
DOM,I551-I553,M01,AT3,1288028.0,201623.0,964707.0,1221434.0,1283339.0
DOM,I551-I553,M01,AT31,301710.0,87500.0,210916.0,288556.0,305848.0
DOM,I551-I553,M01,AT32,608972.0,61294.0,459472.0,579243.0,605750.0
DOM,I551-I553,M01,AT33,307660.0,45045.0,241036.0,286749.0,300921.0
DOM,I551-I553,M01,AT34,69686.0,7784.0,53283.0,66886.0,70820.0
DOM,I551-I553,M01,BE,832541.0,331691.0,828535.0,948062.0,903879.0
DOM,I551-I553,M01,BE1,109695.0,31159.0,64511.0,107017.0,98700.0
DOM,I551-I553,M01,BE10,109695.0,31159.0,64511.0,107017.0,98700.0
DOM,I551-I553,M01,BE2,517520.0,183917.0,490444.0,573167.0,549860.0
DOM,I551-I553,M01,BE21,113089.0,28855.0,90690.0,114315.0,116814.0
DOM,I551-I553,M01,BE22,100445.0,16237.0,93761.0,122143.0,117810.0
DOM,I551-I553,M01,BE23,58267.0,20730.0,55780.0,61559.0,57903.0
DOM,I551-I553,M01,BE24,60885.0,18510.0,34809.0,57307.0,57752.0
