freq,c_dest,unit,purpose,duration,accommod,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
A,DOM,NR,PER,N1-3,NR_OTH,DE,2576870.0,3325275.0,1626969.0,1924474.0,3177839.0,3102539.0,3124271.0,7234892.0,3991706.0,3878994.0,5965985.0,6733375.0,2737000.0
A,DOM,NR,PER,N1-3,NR_OTH,EA20,8905441.0,8982985.0,9154112.0,9905183.0,10894972.0,10349096.0,11857565.0,16425436.0,13198663.0,14078784.0,17902428.0,18167261.0,12593475.0
A,DOM,NR,PER,N1-3,NR_OTH,ES,577666.0,456314.0,700749.0,1924327.0,1472399.0,1775132.0,2148269.0,2089094.0,1149003.0,1694209.0,2182001.0,2741779.0,2583717.0
A,DOM,NR,PER,N1-3,NR_OTH,EU27_2020,12423346.0,13643249.0,13020161.0,13894310.0,14901611.0,14387224.0,15149371.0,20986144.0,18780278.0,20315413.0,40565256.0,41865681.0,16118164.0
A,DOM,NR,PER,N1-3,NR_OTH,FI,1009156.0,755254.0,632908.0,759542.0,734714.0,805057.0,1077990.0,1274146.0,871656.0,1064989.0,1228912.0,1026384.0,1081075.0
A,DOM,NR,PER,N1-3,NR_OTH,FR,3032919.0,3353617.0,3661462.0,3125919.0,3057523.0,2666153.0,3448891.0,3939950.0,5434958.0,5519801.0,5348407.0,4228497.0,3579908.0
A,DOM,NR,PER,N1-3,NR_OTH,IE,99714.0,120251.0,94422.0,161009.0,96477.0,107718.0,131681.0,122501.0,287988.0,96132.0,309444.0,185029.0,344935.0
A,DOM,NR,PER,N1-3,NR_OTH,LV,513713.0,145118.0,258930.0,178375.0,189172.0,135846.0,158811.0,62433.0,91458.0,148686.0,97662.0,96868.0,67056.0
A,DOM,NR,PER,N1-3,NR_OTH,PL,1352973.0,1486277.0,451421.0,358606.0,419065.0,580296.0,449932.0,519313.0,432138.0,473537.0,715981.0,608082.0,425633.0
A,DOM,NR,PER,N1-3,NR_OTH,RO,131857.0,931401.0,916138.0,837115.0,865548.0,941486.0,849965.0,787667.0,203119.0,283424.0,306446.0,491158.0,333707.0
A,DOM,NR,PER,N1-3,NR_OWN,AT,235508.0,352504.0,401857.0,527648.0,260611.0,482407.0,414099.0,480499.0,1064719.0,1090656.0,1221071.0,1306679.0,1655174.0
A,DOM,NR,PER,N1-3,NR_OWN,BE,170529.0,159662.0,122822.0,213166.0,88603.0,158128.0,240826.0,242299.0,411538.0,737168.0,407189.0,452850.0,311958.0
A,DOM,NR,PER,N1-3,NR_OWN,BG,473488.0,324473.0,381912.0,150697.0,199744.0,637188.0,576239.0,274184.0,262206.0,378581.0,419646.0,249243.0,391460.0
A,DOM,NR,PER,N1-3,NR_OWN,CY,406374.0,348250.0,232559.0,518017.0,628105.0,651946.0,780520.0,848975.0,891829.0,946500.0,780685.0,627369.0,675858.0
A,DOM,NR,PER,N1-3,NR_OWN,CZ,13688638.0,10513056.0,12010656.0,8046403.0,10166601.0,11637381.0,11140546.0,10814952.0,8735565.0,9495445.0,9427105.0,5678834.0,7517236.0
