duration,purpose,c_dest,wstatus,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
N1-3,PER,DOM,ACT_INAC,AT,11614059.0,12376376.0,13302874.0,12529539.0,13701664.0,13388734.0,14018212.0,15189831.0,12233034.0,12908098.0,18033947.0,17792079.0,17838764.0
N1-3,PER,DOM,ACT_INAC,BE,2900170.0,3148329.0,2689760.0,4122410.0,3203589.0,4180516.0,4525446.0,5225267.0,4223336.0,7010143.0,6147748.0,6325636.0,5874177.0
N1-3,PER,DOM,ACT_INAC,BG,3842109.0,3846551.0,4071907.0,3032569.0,3364116.0,5733767.0,5021649.0,4871905.0,2608587.0,3810895.0,4156231.0,4484780.0,4985775.0
N1-3,PER,DOM,ACT_INAC,CY,1823074.0,1537768.0,1607076.0,1857829.0,1903611.0,1949968.0,2106611.0,2224148.0,2420453.0,2833921.0,2429087.0,2245089.0,2253318.0
N1-3,PER,DOM,ACT_INAC,CZ,36200298.0,33439028.0,37078080.0,31471676.0,34237876.0,38692095.0,35701446.0,35583530.0,24998821.0,27986259.0,33641220.0,25663027.0,28774873.0
N1-3,PER,DOM,ACT_INAC,DE,167615290.0,175945063.0,161836384.0,178011814.0,168656004.0,158998081.0,165653957.0,169979739.0,109041635.0,135543458.0,137011532.0,160783148.0,172715863.0
N1-3,PER,DOM,ACT_INAC,DK,26928655.0,29541173.0,30055318.0,30299877.0,26815133.0,22321093.0,12278571.0,22159308.0,22556883.0,16334782.0,15648490.0,14409147.0,19828682.0
N1-3,PER,DOM,ACT_INAC,EE,2313852.0,2341047.0,3398506.0,3530087.0,4172243.0,4139192.0,5866192.0,4348000.0,2746533.0,2891746.0,3533699.0,4087086.0,4483860.0
N1-3,PER,DOM,ACT_INAC,EL,5495625.0,2923276.0,3581761.0,3243607.0,3060303.0,3270170.0,3502922.0,2934694.0,2629941.0,2785092.0,3712979.0,3556493.0,3432642.0
N1-3,PER,DOM,ACT_INAC,ES,166220655.0,163427930.0,160529081.0,160771044.0,168452946.0,177239149.0,177822759.0,173791988.0,91101502.0,133118125.0,158056422.0,163857088.0,165538498.0
N1-3,PER,DOM,ACT_INAC,FI,39189392.0,39005051.0,36961575.0,38055783.0,37846876.0,39209211.0,37093526.0,37622277.0,28160267.0,36923768.0,32860465.0,28657705.0,33353192.0
N1-3,PER,DOM,ACT_INAC,FR,184861260.0,181954190.0,184491323.0,163206588.0,160888964.0,179119303.0,172165371.0,175093744.0,142393266.0,188553241.0,209801580.0,211075399.0,193510376.0
N1-3,PER,DOM,ACT_INAC,HR,5817978.0,5731124.0,5327797.0,3644526.0,2600601.0,2481744.0,2806091.0,3310786.0,2502134.0,3027669.0,2869310.0,3456316.0,4003476.0
N1-3,PER,DOM,ACT_INAC,HU,20305731.0,16457775.0,17894808.0,18573170.0,17999573.0,18161591.0,17566975.0,17661110.0,10790049.0,12198417.0,15938878.0,15578822.0,16400199.0
N1-3,PER,DOM,ACT_INAC,IE,8905635.0,8751585.0,9487565.0,9516756.0,9993138.0,10362955.0,11927113.0,12357077.0,8082662.0,5956488.0,14289512.0,13483543.0,18047553.0
N1-3,PER,DOM,ACT_INAC,IT,42155530.0,33327995.0,36329218.0,34577378.0,44060794.0,41064916.0,47599534.0,41217546.0,24683257.0,24387016.0,35750878.0,31510518.0,27454564.0
N1-3,PER,DOM,ACT_INAC,LT,3283417.0,3121013.0,3396253.0,3402998.0,3161710.0,3227905.0,3363645.0,3495470.0,3020990.0,4028283.0,4730132.0,5193499.0,6204165.0
N1-3,PER,DOM,ACT_INAC,LU,54737.0,66854.0,34234.0,22350.0,20197.0,38628.0,43118.0,37315.0,171112.0,168028.0,168710.0,217138.0,154102.0
N1-3,PER,DOM,ACT_INAC,LV,4741715.0,4229386.0,4115911.0,3868018.0,4111422.0,3893632.0,3581529.0,3339222.0,1593357.0,3327750.0,3841544.0,3956023.0,4182929.0
N1-3,PER,DOM,ACT_INAC,MT,330686.0,321574.0,339022.0,360284.0,507970.0,415493.0,404375.0,381077.0,598486.0,616320.0,598237.0,694005.0,711012.0
N1-3,PER,DOM,ACT_INAC,NL,33326859.0,29652370.0,29020721.0,27375257.0,27726435.0,27596634.0,26544692.0,26902639.0,22453765.0,35954806.0,25347264.0,26247913.0,27172911.0
N1-3,PER,DOM,ACT_INAC,PL,47242930.0,50630835.0,41937463.0,44086369.0,48637419.0,52558113.0,55822067.0,58370311.0,43014993.0,52036260.0,59762123.0,62210685.0,62700981.0
N1-3,PER,DOM,ACT_INAC,PT,13546352.0,14346515.0,14733797.0,15781021.0,16241852.0,17334510.0,18361301.0,20473419.0,12475913.0,15179338.0,19542476.0,20264808.0,19071590.0
N1-3,PER,DOM,ACT_INAC,RO,19599109.0,21005630.0,21697083.0,20696355.0,21929908.0,22573414.0,23053160.0,23394308.0,14956498.0,22554387.0,23444163.0,27060690.0,26647198.0
N1-3,PER,DOM,ACT_INAC,SI,2994580.0,2861056.0,2693222.0,2189284.0,2436374.0,2534409.0,3062823.0,2296720.0,1686870.0,4602513.0,3863576.0,4950067.0,4645391.0
N1-3,PER,DOM,ACT_INAC,SK,3918960.0,5525240.0,5798469.0,7043087.0,8691208.0,9037490.0,10078824.0,11230593.0,6361716.0,6612906.0,10251291.0,10565502.0,10420384.0
N1-3,PER,DOM,EDUC,AT,1269671.0,1516157.0,1343098.0,1184479.0,1648720.0,1409247.0,1429332.0,1783392.0,1140143.0,1446339.0,1783557.0,1664038.0,1673615.0
N1-3,PER,DOM,EDUC,EE,204230.0,220890.0,537618.0,338625.0,373269.0,488350.0,678901.0,534443.0,277638.0,363380.0,362645.0,441673.0,554353.0
N1-3,PER,DOM,EDUC,ES,14964826.0,15401029.0,13844939.0,13352451.0,17240284.0,18825513.0,18220332.0,16840450.0,11598865.0,16790097.0,13054586.0,9913187.0,14962344.0
N1-3,PER,DOM,EDUC,FI,7433283.0,6471718.0,6386822.0,6546662.0,6210017.0,6638685.0,6552442.0,6079921.0,4456802.0,5915258.0,4913525.0,3916535.0,4162927.0
N1-3,PER,DOM,EDUC,LV,474922.0,392202.0,336466.0,290136.0,377895.0,280528.0,294547.0,321731.0,77313.0,328582.0,279289.0,242850.0,291558.0
N1-3,PER,DOM,EDUC,NL,4030505.0,4269362.0,3761667.0,3252853.0,3600793.0,3914062.0,2973340.0,2685076.0,2517525.0,5552746.0,3208077.0,3378172.0,3642080.0
N1-3,PER,DOM,EDUC,RO,2405318.0,2141743.0,2369364.0,2111749.0,2144089.0,2476266.0,2397788.0,2380225.0,1461683.0,2361410.0,2331808.0,5226803.0,5217356.0
N1-3,PER,DOM,EMP,AT,7370719.0,7986056.0,9007303.0,8049909.0,8667083.0,8805947.0,9580837.0,9545730.0,8568794.0,8847986.0,12873876.0,11626205.0,11262732.0
