c_resid,nace_r2,geo,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
AFR,I551,AT,40676.0,47141.0,51561.0,53533.0,56109.0,64735.0,68031.0,66466.0,69141.0,67764.0,16609.0,13859.0,47110.0,61591.0,64086.0
AFR,I551,BE,63541.0,63434.0,64241.0,67517.0,69579.0,67545.0,64877.0,69946.0,71754.0,74809.0,25470.0,27965.0,59305.0,67091.0,72080.0
AFR,I551,BG,674.0,808.0,3841.0,2668.0,4373.0,4343.0,10837.0,10428.0,9975.0,12035.0,2364.0,3893.0,6851.0,7588.0,8011.0
AFR,I551,CY,9383.0,8701.0,9977.0,10632.0,12263.0,12595.0,15853.0,15363.0,19169.0,20849.0,3932.0,5519.0,17019.0,17872.0,25472.0
AFR,I551,CZ,24290.0,28423.0,34774.0,36008.0,41021.0,40582.0,41069.0,42985.0,40538.0,44785.0,9239.0,8794.0,26896.0,35734.0,41679.0
AFR,I551,DE,180629.0,181208.0,211790.0,221892.0,231521.0,252381.0,240027.0,248202.0,249477.0,260656.0,66919.0,56454.0,178585.0,211797.0,228564.0
AFR,I551,DK,12116.0,12636.0,15124.0,15598.0,17009.0,18664.0,19711.0,19609.0,16684.0,15651.0,3136.0,4078.0,10437.0,13184.0,16755.0
AFR,I551,EA,1720867.0,1861216.0,2051823.0,2207400.0,2327055.0,2503203.0,2618807.0,2791395.0,2886672.0,3013171.0,830579.0,1009122.0,2376342.0,2802154.0,3039955.0
AFR,I551,EE,1155.0,1946.0,1881.0,1462.0,1673.0,1894.0,1842.0,2290.0,2378.0,3432.0,490.0,1375.0,2814.0,3669.0,4757.0
AFR,I551,EL,45813.0,55596.0,90691.0,66229.0,63911.0,63871.0,67185.0,65427.0,81579.0,101658.0,22638.0,38914.0,81539.0,96270.0,94511.0
AFR,I551,ES,387766.0,421398.0,456897.0,501349.0,527410.0,589499.0,688470.0,749155.0,765947.0,849259.0,262141.0,324358.0,712778.0,810575.0,906976.0
AFR,I551,EU27_2020,1808825.0,1965779.0,2178315.0,2343524.0,2480836.0,2667061.0,2790166.0,2961636.0,3059368.0,3194366.0,872652.0,1054316.0,2504265.0,2928701.0,3181439.0
AFR,I551,FI,6985.0,7709.0,7333.0,6808.0,7418.0,8426.0,8304.0,10732.0,10817.0,11096.0,2454.0,2271.0,8079.0,10459.0,10603.0
AFR,I551,FR,449095.0,468924.0,525812.0,602540.0,633407.0,675086.0,694087.0,749974.0,789038.0,719352.0,185032.0,240290.0,574183.0,637151.0,644727.0
AFR,I551,HR,8012.0,8928.0,11654.0,12405.0,13008.0,13220.0,14907.0,16154.0,18526.0,18726.0,2559.0,5012.0,12599.0,15001.0,16811.0
AFR,I551,HU,9934.0,11073.0,14011.0,16449.0,19063.0,25651.0,25340.0,23449.0,21236.0,23306.0,4040.0,5906.0,21718.0,23091.0,26529.0
AFR,I551,IT,301603.0,326238.0,342946.0,344209.0,349858.0,448368.0,450074.0,455135.0,456145.0,484095.0,138546.0,185312.0,389032.0,498771.0,562400.0
AFR,I551,LI,132.0,138.0,382.0,183.0,194.0,226.0,192.0,169.0,178.0,240.0,65.0,27.0,182.0,135.0,198.0
AFR,I551,LT,1493.0,3009.0,1697.0,1772.0,1815.0,3097.0,1965.0,2454.0,3465.0,5076.0,792.0,1795.0,3648.0,3889.0,3787.0
AFR,I551,LU,2775.0,9792.0,13907.0,4416.0,5999.0,4357.0,3561.0,3230.0,3608.0,4465.0,1068.0,1577.0,3042.0,3627.0,4004.0
AFR,I551,LV,1382.0,1276.0,1705.0,1815.0,3398.0,3003.0,3477.0,4186.0,3687.0,3511.0,1309.0,1391.0,2315.0,3671.0,3799.0
AFR,I551,MK,214.0,390.0,314.0,720.0,638.0,877.0,614.0,1351.0,1627.0,1212.0,224.0,485.0,1482.0,1765.0,2131.0
