STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2000,,46.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2001,,44.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2002,,43.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2003,,42.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2004,,42.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2005,,41.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2006,,43.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2007,,42.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2008,,42.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2009,,42.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2010,,42.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2011,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2012,,43.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2013,,43.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2014,,43.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2015,,45.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2016,,44.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2017,,43.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2018,,41.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2019,,40.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2020,,42.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2021,,44.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2022,,44.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2023,,41.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2024,,41.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2000,,47.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2001,,46.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2002,,44.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2003,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2004,,43.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2005,,42.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2006,,44.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2007,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2008,,43.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2009,,43.5,,,,,
