STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2010,,43.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2011,,44.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2012,,44.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2013,,44.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2014,,44.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2015,,46.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2016,,45.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2017,,43.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2018,,42.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2019,,40.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2020,,43.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2021,,44.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2022,,44.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2023,,41.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2024,,41.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2000,,49.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2001,,48.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2002,,46.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2003,,45.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2004,,45.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2005,,44.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2006,,45.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2007,,44.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2008,,43.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2009,,43.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2010,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2011,,43.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2012,,42.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2013,,43.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2014,,43.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2015,,44.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2016,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2017,,41.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2018,,40.5,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2019,,38.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2007,European Union - 27 countries (2007-2013),2020,,40.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2000,,52.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2001,,50.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2002,,48.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2003,,47.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2004,,46.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2005,,46.1,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2006,,46.9,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2007,,45.8,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2008,,45.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2009,,44.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2010,,44.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2011,,44.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2012,,44.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2013,,44.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2014,,44.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,45.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,,44.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2017,,43.2,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2018,,41.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2019,,39.6,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,41.3,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,,43.0,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,42.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2023,,39.7,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,CV_VI_HAB,Coefficient of variation of volume indices of expenditure per capita (percentage),GDP,Gross domestic product,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2024,,39.4,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,EXP_PPS_EU27_2020_HAB,Real expenditure per capita (in PPS_EU27_2020),GDP,Gross domestic product,PC,Percentage,AL,Albania,2000,,3300,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,EXP_PPS_EU27_2020_HAB,Real expenditure per capita (in PPS_EU27_2020),GDP,Gross domestic product,PC,Percentage,AL,Albania,2001,,3700,,,,,
dataflow,ESTAT:SDG_10_10(1.0),Purchasing power adjusted GDP per capita,A,Annual,EXP_PPS_EU27_2020_HAB,Real expenditure per capita (in PPS_EU27_2020),GDP,Gross domestic product,PC,Percentage,AL,Albania,2002,,4000,,,,,
