freq,c_dest,purpose,duration,wstatus,unit,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
A,DOM,PER,N1-3,ACT_INAC,NR,AT,5777112.0,6314809.0,6709183.0,6351613.0,6882323.0,6764655.0,7361385.0,7909105.0,6288046.0,6677951.0,9499556.0,9211332.0,9369123.0
A,DOM,PER,N1-3,ACT_INAC,NR,BE,1489881.0,1670786.0,1435782.0,2235671.0,1698476.0,2175530.0,2469676.0,2782431.0,2219809.0,3606225.0,3316240.0,3403263.0,3115789.0
A,DOM,PER,N1-3,ACT_INAC,NR,BG,1941286.0,1877711.0,1855864.0,1424295.0,1596173.0,2736847.0,2335183.0,2204807.0,1208155.0,1677700.0,1967127.0,2030006.0,2265996.0
A,DOM,PER,N1-3,ACT_INAC,NR,CY,1074564.0,879804.0,962785.0,1082593.0,1114113.0,1167110.0,1329479.0,1365000.0,1444892.0,1586491.0,1349181.0,1251908.0,1282637.0
A,DOM,PER,N1-3,ACT_INAC,NR,CZ,18628902.0,17215083.0,18528217.0,16203332.0,17702092.0,20061639.0,18498367.0,18301424.0,12774637.0,14492600.0,17453952.0,12840828.0,14488088.0
A,DOM,PER,N1-3,ACT_INAC,NR,DE,84908064.0,87350273.0,80109555.0,89534444.0,87104335.0,79063521.0,82390597.0,84381050.0,57445754.0,70272824.0,67283380.0,78472262.0,84913829.0
A,DOM,PER,N1-3,ACT_INAC,NR,DK,17342909.0,19196406.0,19511192.0,19496387.0,17400216.0,13838114.0,6588550.0,12339753.0,11990566.0,8744466.0,8456216.0,7935700.0,11015358.0
A,DOM,PER,N1-3,ACT_INAC,NR,EE,1353968.0,1386473.0,2048022.0,2147737.0,2598912.0,2599066.0,3684154.0,2792391.0,1731058.0,1784187.0,2157881.0,2605023.0,2812746.0
A,DOM,PER,N1-3,ACT_INAC,NR,EL,2658927.0,1357457.0,1596409.0,1472529.0,1337167.0,1446538.0,1521486.0,1300699.0,1162815.0,1220626.0,1642427.0,1477438.0,1432493.0
A,DOM,PER,N1-3,ACT_INAC,NR,ES,83539578.0,82058291.0,80180124.0,87944959.0,92415804.0,98440678.0,98481278.0,96098994.0,50824968.0,73548911.0,85395637.0,87825144.0,88637265.0
A,DOM,PER,N1-3,ACT_INAC,NR,FI,21483338.0,21219881.0,20069650.0,20500670.0,20638135.0,21196262.0,20280352.0,20631549.0,14751971.0,19653912.0,17605819.0,15408517.0,17748819.0
A,DOM,PER,N1-3,ACT_INAC,NR,FR,101090835.0,99691398.0,100199550.0,88733645.0,87141181.0,99012103.0,96705160.0,98083414.0,76759964.0,99745216.0,109412243.0,116570701.0,106309683.0
A,DOM,PER,N1-3,ACT_INAC,NR,HR,3028091.0,3169156.0,2862996.0,1858851.0,1318717.0,1232553.0,1381835.0,1753025.0,1246294.0,1504046.0,1446080.0,1687033.0,1955682.0
A,DOM,PER,N1-3,ACT_INAC,NR,HU,10404311.0,8283007.0,9005826.0,9178335.0,8787343.0,8967808.0,8667609.0,8715121.0,5314714.0,6036837.0,8005428.0,7938366.0,7984602.0
A,DOM,PER,N1-3,ACT_INAC,NR,IE,4989593.0,4985981.0,5301522.0,5412039.0,5655671.0,5987283.0,6883462.0,7206159.0,4500025.0,3249162.0,8286955.0,7760878.0,10986799.0
A,DOM,PER,N1-3,ACT_INAC,NR,IT,22914818.0,17616095.0,19635800.0,18822480.0,22957185.0,20992374.0,25693619.0,21583168.0,12639567.0,11956283.0,16535282.0,14983171.0,13113295.0
A,DOM,PER,N1-3,ACT_INAC,NR,LT,1800988.0,1772756.0,1859041.0,1894224.0,1809246.0,1801918.0,1892208.0,2040226.0,1759632.0,2329937.0,2751614.0,2986346.0,3626300.0
A,DOM,PER,N1-3,ACT_INAC,NR,LU,38128.0,48074.0,20175.0,11722.0,11417.0,22540.0,28005.0,23425.0,111457.0,116073.0,118096.0,152744.0,105266.0
A,DOM,PER,N1-3,ACT_INAC,NR,LV,3269376.0,2709534.0,2719511.0,2576756.0,2727693.0,2589575.0,2270410.0,2161385.0,1073253.0,2024280.0,2476484.0,2521166.0,2717952.0
A,DOM,PER,N1-3,ACT_INAC,NR,MT,165635.0,164188.0,165919.0,169306.0,259064.0,211062.0,196795.0,189763.0,281538.0,295777.0,288728.0,358537.0,357609.0
A,DOM,PER,N1-3,ACT_INAC,NR,NL,19655079.0,17539840.0,17024512.0,16157006.0,16194798.0,16171800.0,15301700.0,15654877.0,12640948.0,21041260.0,14008073.0,14430602.0,15006279.0
A,DOM,PER,N1-3,ACT_INAC,NR,PL,23553957.0,22771087.0,22452085.0,23295558.0,25434026.0,26732292.0,27682552.0,28717731.0,21599773.0,25626943.0,28760173.0,29551317.0,29756298.0
A,DOM,PER,N1-3,ACT_INAC,NR,PT,8657057.0,8875773.0,9029729.0,9457829.0,9864400.0,10748717.0,11160830.0,12160278.0,7222409.0,8668857.0,11293061.0,11688033.0,11209901.0
A,DOM,PER,N1-3,ACT_INAC,NR,RO,9618923.0,10284515.0,10260473.0,10027943.0,10451315.0,11011671.0,10950951.0,10928668.0,6991039.0,10416599.0,10732734.0,12705847.0,12007804.0
A,DOM,PER,N1-3,ACT_INAC,NR,SI,1603955.0,1567992.0,1472051.0,1127833.0,1254837.0,1416660.0,1560193.0,1248643.0,806440.0,2410037.0,2034708.0,2730991.0,2601103.0
A,DOM,PER,N1-3,ACT_INAC,NR,SK,1890993.0,2666527.0,2811721.0,3317069.0,4193045.0,4440135.0,4879430.0,5249407.0,2993088.0,3199897.0,5001765.0,5104940.0,5027570.0
A,DOM,PER,N1-3,EDUC,NR,AT,673507.0,812670.0,711188.0,620787.0,821635.0,740053.0,772145.0,974550.0,601772.0,767870.0,1020338.0,946111.0,934044.0
A,DOM,PER,N1-3,EDUC,NR,EE,106689.0,138301.0,305455.0,197604.0,230965.0,305438.0,430432.0,332744.0,158072.0,204073.0,233372.0,273156.0,346206.0
A,DOM,PER,N1-3,EDUC,NR,ES,7411356.0,7728073.0,6880223.0,7172294.0,9627550.0,10364232.0,9951209.0,9343694.0,6691540.0,9295620.0,7403236.0,5391501.0,8301800.0
A,DOM,PER,N1-3,EDUC,NR,FI,3962025.0,3476055.0,3431738.0,3547591.0,3362109.0,3507152.0,3530625.0,3234464.0,2268232.0,3131214.0,2628660.0,2031315.0,2160695.0
A,DOM,PER,N1-3,EDUC,NR,LV,333944.0,261799.0,234524.0,179112.0,280839.0,186545.0,198093.0,193265.0,50176.0,202717.0,173724.0,169240.0,179362.0
A,DOM,PER,N1-3,EDUC,NR,NL,2799781.0,2936703.0,2534020.0,2180638.0,2344525.0,2618136.0,1911252.0,1795414.0,1547325.0,3629762.0,1982724.0,2007497.0,2173329.0
A,DOM,PER,N1-3,EDUC,NR,RO,1110164.0,983480.0,1050421.0,959171.0,976193.0,1102363.0,1068624.0,1037722.0,638885.0,1037430.0,1018137.0,2315329.0,2229848.0
