freq,c_dest,unit,purpose,duration,accommod,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,PER,N1-3,NR_OTH,AL	: 	: 	: 	: 	: 	51691 	: 	: u	41446 u	: 	: 	: 	: 
A,DOM,NR,PER,N1-3,NR_OTH,AT	: u	: u	: u	: u	100368 u	: u	: u	: u	236281 	275783 	514290 	417198 	425275 
A,DOM,NR,PER,N1-3,NR_OTH,BE	: u	: u	: u	57440 u	: u	: u	48869 u	204457 	137180 u	147272 u	134630 u	163830 	81385 u
A,DOM,NR,PER,N1-3,NR_OTH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER,N1-3,NR_OTH,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: 
A,DOM,NR,PER,N1-3,NR_OTH,CY	: u	: u	: u	30277 u	: u	: u	: u	: u	11339 u	: u	: u	: u	20352 u
A,DOM,NR,PER,N1-3,NR_OTH,CZ	212376 u	250606 u	195447 u	238768 u	164509 u	219321 u	162349 u	249968 u	153703 u	: u	261915 u	343260 u	166131 u
A,DOM,NR,PER,N1-3,NR_OTH,DE	2576870 	3325275 	1626969 u	1924474 u	3177839 	3102539 	3124271 	7234892 	3991706 	3878994 	5965985 	6733375 	2737000 
A,DOM,NR,PER,N1-3,NR_OTH,DK	149778 u	324298 b	651320 	664346 	558234 	: 	: 	417598 	451985 	378907 u	404976 u	319464 u	337789 u
A,DOM,NR,PER,N1-3,NR_OTH,EA20	8905441 	8982985 	9154112 	9905183 	10894972 	10349096 	11857565 	16425436 	13198663 	14078784 	17902428 	18167261 	12593475 
A,DOM,NR,PER,N1-3,NR_OTH,EE	: u	145407 	240950 	181306 	250585 	229908 	273871 	240037 	149265 u	99743 u	187668 	185457 	262089 
A,DOM,NR,PER,N1-3,NR_OTH,EL	68810 u	32832 u	91754 	54640 u	32611 u	81362 u	38989 u	: u	21507 u	76650 u	49566 u	: u	: u
A,DOM,NR,PER,N1-3,NR_OTH,ES	577666 	456314 	700749 	1924327 b	1472399 	1775132 	2148269 	2089094 	1149003 	1694209 	2182001 	2741779 	2583717 
A,DOM,NR,PER,N1-3,NR_OTH,EU27_2020	12423346 e	13643249 e	13020161 	13894310 	14901611 	14387224 	15149371 	20986144 	18780278 	20315413 	40565256 	41865681 e	16118164 
A,DOM,NR,PER,N1-3,NR_OTH,FI	1009156 b	755254 	632908 	759542 	734714 	805057 	1077990 	1274146 	871656 	1064989 	1228912 	1026384 	1081075 
A,DOM,NR,PER,N1-3,NR_OTH,FR	3032919 	3353617 	3661462 	3125919 	3057523 	2666153 	3448891 	3939950 	5434958 	5519801 	5348407 	4228497 	3579908 
A,DOM,NR,PER,N1-3,NR_OTH,HR	160215 u	77874 u	105937 u	: u	: u	63319 u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER,N1-3,NR_OTH,HU	182408 	167472 	175410 	177777 	138490 	91218 	102970 	143608 	28922 u	77517 	109988 	110289 	: u
A,DOM,NR,PER,N1-3,NR_OTH,IE	99714 u	120251 	94422 	161009 	96477 	107718 	131681 	122501 	287988 	96132 u	309444 	185029 u	344935 u
A,DOM,NR,PER,N1-3,NR_OTH,IT	: u	: u	1384007 bu	1215936 u	1329482 u	840598 u	834091 u	679905 u	: u	466606 u	555772 u	773593 u	: u
A,DOM,NR,PER,N1-3,NR_OTH,LT	60945 	36590 	56901 	: u	15724 u	: u	: u	11097 u	102155 	25067 u	35923 	137478 	242421 
A,DOM,NR,PER,N1-3,NR_OTH,LU	: 	: u	: u	: u	: 	: u	: u	: u	: u	10927 u	17991 u	44189 	16297 u
A,DOM,NR,PER,N1-3,NR_OTH,LV	513713 	145118 	258930 	178375 	189172 	135846 	158811 u	62433 u	91458 u	148686 	97662 u	96868 u	67056 u
