freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,DOM,EDUC,NR,AT	1269671 	1516157 	1343098 	1184479 	1648720 	1409247 	1429332 	1783392 	1140143 	1446339 	1783557 	1664038 	1673615 
A,N1-3,PER,DOM,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	597766 	497404 	414533 	562607 
A,N1-3,PER,DOM,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	411378 	385457 	463593 	549812 
A,N1-3,PER,DOM,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	4736962 	5421703 	3528877 	3320955 	3036232 	3962912 
A,N1-3,PER,DOM,EDUC,NR,EE	204230 	220890 	537618 	338625 	373269 	488350 	678901 	534443 	277638 	363380 	362645 	441673 	554353 
A,N1-3,PER,DOM,EDUC,NR,ES	14964826 	15401029 	13844939 	13352451 b	17240284 	18825513 	18220332 	16840450 	11598865 	16790097 	13054586 	9913187 	14962344 
A,N1-3,PER,DOM,EDUC,NR,FI	7433283 	6471718 	6386822 	6546662 	6210017 	6638685 	6552442 	6079921 	4456802 	5915258 	4913525 	3916535 	4162927 
A,N1-3,PER,DOM,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	10024494 	11302203 	13760074 	27974246 	22439220 
A,N1-3,PER,DOM,EDUC,NR,HR	: 	: 	1107667 	516839 	: 	371518 	: 	344728 	290868 	: 	: 	: 	: 
A,N1-3,PER,DOM,EDUC,NR,HU	: 	: 	: 	1607653 	1737574 	1611411 	1730925 	1895569 	1027475 	: 	: 	: 	: 
A,N1-3,PER,DOM,EDUC,NR,LU	25680 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,EDUC,NR,LV	474922 	392202 	336466 	290136 	377895 	280528 	294547 	321731 	77313 u	328582 	279289 	242850 	291558 
A,N1-3,PER,DOM,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	16953 u	26834 u	30265 u	: 	: 	: 
A,N1-3,PER,DOM,EDUC,NR,MT	: 	: 	: 	41419 	110476 	: 	: 	39927 	59160 	42093 	33976 	38394 	43809 
A,N1-3,PER,DOM,EDUC,NR,NL	4030505 	4269362 	3761667 	3252853 	3600793 	3914062 	2973340 	2685076 	2517525 	5552746 	3208077 	3378172 	3642080 
A,N1-3,PER,DOM,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1265256 
A,N1-3,PER,DOM,EDUC,NR,PT	996614 	1148127 	: 	1532130 	1373097 	544358 	1479877 	1940245 	1308889 	1292607 	1756204 	55171 u	1767257 
A,N1-3,PER,DOM,EDUC,NR,RO	2405318 	2141743 	2369364 	2111749 	2144089 	2476266 	2397788 	2380225 	1461683 	2361410 	2331808 	5226803 	5217356 
A,N1-3,PER,DOM,EDUC,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,EDUC,NR,SI	453652 	454848 	420832 	185920 	250948 	: 	: 	: 	: 	526667 	392799 	677008 	553076 
A,N1-3,PER,DOM,EMP,NR,AL	: 	: 	: 	: 	: 	1833111 	: 	2303086 	1362244 	: 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,AT	7370719 	7986056 	9007303 	8049909 	8667083 	8805947 	9580837 	9545730 	8568794 	8847986 	12873876 	11626205 	11262732 
A,N1-3,PER,DOM,EMP,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	4887849 	4142599 	4183129 	3993019 
A,N1-3,PER,DOM,EMP,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	2864243 	3201463 	3279626 	3548139 
A,N1-3,PER,DOM,EMP,NR,DK	: 	: 	: 	: 	: 	: 	: 	12718192 	12449068 	9415875 	8787492 	8019486 	11445732 
A,N1-3,PER,DOM,EMP,NR,EE	1704140 	1715613 	2198912 	2553842 	3151478 	2991172 	4286014 	3043126 	1942214 	1997941 	2615564 	2887971 	3136880 
A,N1-3,PER,DOM,EMP,NR,ES	97848848 	93956681 	92534738 	96779917 b	102522572 	107128971 	110027020 	105770605 	55089665 	81579186 	102377017 	110496545 	102998043 
A,N1-3,PER,DOM,EMP,NR,FI	22430654 	23218622 	21298550 	21604889 	21585988 	22849167 	21415382 	22406592 	17208001 	22520743 	20360438 	17515902 	19997256 
A,N1-3,PER,DOM,EMP,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	96653749 	118794071 	127584050 	135713236 	127485152 
A,N1-3,PER,DOM,EMP,NR,HR	: 	: 	2454841 	1820382 	: 	1428886 	: 	2030368 	1554627 	: 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,HU	: 	: 	: 	11319544 	10761385 	11594337 	11104256 	10984834 	7264926 	: 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,LU	21342 u	: 	: 	: 	: 	: 	: 	16986 u	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,LV	3147612 	2767358 	2865016 	2692572 	2823270 	2868677 	2659748 	2413305 	1266637 	2504434 	2892185 	3045734 	3231385 
A,N1-3,PER,DOM,EMP,NR,MK	: 	: 	: 	: 	: 	: 	: 	106406 	218704 	162813 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,MT	: 	: 	: 	205392 	306851 	: 	: 	257904 	453880 	471562 	429297 	501899 	510550 
A,N1-3,PER,DOM,EMP,NR,NL	18246637 	16395260 	15678955 	15362363 	15648340 	15935523 	16020404 	15923634 	14187532 	21557945 	14902093 	15525341 	16239648 
A,N1-3,PER,DOM,EMP,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20614365 
A,N1-3,PER,DOM,EMP,NR,PT	7992776 	6625152 	: 	8740253 	9244430 	3832606 	11325202 	12348042 	7913677 	9419699 	12211144 	265479 	12193443 
A,N1-3,PER,DOM,EMP,NR,RO	12776277 	14293691 	14883791 	14003085 	15277731 	15235397 	16207833 	16418574 	11036821 	15983736 	16923420 	17145421 	17107936 
A,N1-3,PER,DOM,EMP,NR,RS	: 	: 	: 	: 	: 	: 	791271 	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,EMP,NR,SI	1629290 	1563709 	1407217 	1197884 	1289799 	: 	: 	: 	: 	3099198 	2703909 	3219607 	3239773 
A,N1-3,PER,DOM,INAC_OTH,NR,AL	: 	: 	: 	: 	: 	697606 	: 	949610 	549241 	: 	: 	: 	: 
A,N1-3,PER,DOM,INAC_OTH,NR,AT	2833553 	2674968 	2782536 	3101784 	3204248 	3024645 	2799324 	3579183 	2218949 	2341293 	3151862 	4229864 	4439435 
