freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,TOTAL,DOM,ACT_INAC,NR,UK	144175980 	141502309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,AL	: 	: 	: 	: 	: 	513507 	: 	428022 	292555 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,AT	1400136 	1729662 	1570420 	1285441 	1830415 	1527449 	1547325 	1935527 	1250259 	1527262 	1929175 	1773117 	1912354 
A,N1-3,TOTAL,DOM,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	597766 	524515 	436739 	564536 
A,N1-3,TOTAL,DOM,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	411378 	385457 	463593 	549812 
A,N1-3,TOTAL,DOM,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	5132765 	5469910 	3885798 	3569543 	3290170 	4247056 
A,N1-3,TOTAL,DOM,EDUC,NR,EE	209615 	236548 	548154 	349517 	393378 	507682 	687220 	547628 	292766 	363805 	383062 	451206 	560049 
A,N1-3,TOTAL,DOM,EDUC,NR,ES	15033593 	15435228 	13876434 	13449103 b	17365403 	18890517 	18326276 	16955090 	11677027 	16922828 	13171821 	9973921 	15079249 
A,N1-3,TOTAL,DOM,EDUC,NR,FI	7727538 	6813634 	6636231 	6734918 	6431272 	6816230 	6802173 	6256959 	4592403 	5996888 	5020139 	4074926 	4282128 
A,N1-3,TOTAL,DOM,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	10880464 	11954666 	15011628 	29229292 	25052455 
A,N1-3,TOTAL,DOM,EDUC,NR,HR	: 	: 	1142633 	517468 	: 	393272 	: 	348299 	296308 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,HU	: 	: 	: 	1618200 	1748869 	1625211 	1733777 	1934456 	1049759 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,LU	26184 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,LV	474922 	392202 	336466 	290136 	377895 	280528 	294547 	321731 	77313 u	328582 	279289 	242850 	291558 
A,N1-3,TOTAL,DOM,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	16953 u	26834 u	30265 u	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,MT	: 	: 	: 	41419 	110476 	: 	: 	40650 	59996 	42338 	34748 	39660 	44838 
A,N1-3,TOTAL,DOM,EDUC,NR,NL	4108815 	4359172 	3826335 	3333039 	3687069 	3984886 	3099593 	2884699 	2613848 	5598264 	3214769 	3498395 	3716623 
A,N1-3,TOTAL,DOM,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1329935 
A,N1-3,TOTAL,DOM,EDUC,NR,PT	1044171 	1226328 	: 	1586761 	1509493 	592935 	1612969 	2026925 	1425201 	1338308 	1897883 	55171 u	1842638 
A,N1-3,TOTAL,DOM,EDUC,NR,RO	2408958 	2142729 	2373096 	2119485 	2144089 	2478393 	2397788 	2382254 	1461683 	2366261 	2331808 	5226803 	5217872 
A,N1-3,TOTAL,DOM,EDUC,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EDUC,NR,SI	469330 	470153 	435587 	207489 	257328 	: 	: 	: 	: 	589449 	451273 	751810 	615139 
A,N1-3,TOTAL,DOM,EMP,NR,AL	: 	: 	: 	: 	: 	2068527 	: 	2461893 	1394856 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,AT	9773197 	10535920 	11211392 	10171795 	10905663 	10965239 	11604943 	11661169 	9675998 	10213492 	15139208 	13906820 	13333633 
A,N1-3,TOTAL,DOM,EMP,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	5031957 	4296173 	4377231 	4224462 
A,N1-3,TOTAL,DOM,EMP,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	2937054 	3368734 	3480268 	3727868 
A,N1-3,TOTAL,DOM,EMP,NR,DK	: 	: 	: 	: 	: 	: 	: 	14910530 	12756608 	10293517 	9768360 	9318879 	12808573 
A,N1-3,TOTAL,DOM,EMP,NR,EE	1850615 	1916569 	2571888 	2903703 	3628554 	3465088 	4888797 	3570183 	2160278 	2247086 	2924905 	3326872 	3590573 
A,N1-3,TOTAL,DOM,EMP,NR,ES	109483938 	103895019 	101139933 	103796206 b	110815610 	115271033 	117941953 	114148558 	57961819 	86372069 	109249524 	118897232 	111584787 
A,N1-3,TOTAL,DOM,EMP,NR,FI	27493999 	28205773 	25627296 	25775793 	26237347 	27319546 	25427127 	26836195 	19250700 	24309651 	23250309 	20563566 	22231488 
A,N1-3,TOTAL,DOM,EMP,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	110389620 	136920549 	149203445 	157790745 	159335970 
A,N1-3,TOTAL,DOM,EMP,NR,HR	: 	: 	3353537 	2305651 	: 	1786016 	: 	2491564 	1728320 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,HU	: 	: 	: 	11739820 	11006913 	11934308 	11390189 	11274514 	7393358 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,LU	27071 	: 	: 	: 	: 	: 	: 	29201 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,LV	3315963 	2896397 	2943039 	2832634 	2889852 	2983275 	2718457 	2447012 	1293194 	2530235 	2961767 	3089604 	3313352 
A,N1-3,TOTAL,DOM,EMP,NR,MK	: 	: 	: 	: 	: 	: 	: 	132009 	221979 	162813 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,MT	: 	: 	: 	208609 	316643 	: 	: 	271016 	467915 	490260 	447492 	532069 	530057 
A,N1-3,TOTAL,DOM,EMP,NR,NL	19385541 	17515794 	16646218 	16454283 	16719631 	17217183 	17429187 	17395289 	14865975 	22323139 	16043299 	16943215 	18214376 
A,N1-3,TOTAL,DOM,EMP,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25630839 
A,N1-3,TOTAL,DOM,EMP,NR,PT	8702338 	7159925 	: 	9719413 	10276473 	4135126 	12356228 	13401308 	8561910 	10167766 	13309103 	269688 	13130293 
A,N1-3,TOTAL,DOM,EMP,NR,RO	12789314 	14356299 	14962938 	14095760 	15388548 	15324102 	16280060 	16505951 	11062388 	16073465 	16991141 	17207931 	17132318 
A,N1-3,TOTAL,DOM,EMP,NR,RS	: 	: 	: 	: 	: 	: 	1181507 	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,EMP,NR,SI	1718516 	1701961 	1510237 	1271727 	1389243 	: 	: 	: 	: 	3279017 	2874817 	3522236 	3510555 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,AL	: 	: 	: 	: 	: 	725761 	: 	959295 	550854 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,AT	2988544 	2780274 	2892436 	3268158 	3339341 	3126665 	2917949 	3712443 	2280763 	2396761 	3624971 	4358656 	4604743 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,BE	3255212 	3248618 	2741160 	4271278 	3355452 	4309911 b	4816083 	5491414 	4309464 	1430009 	1388540 	1573352 	1227956 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,BG	3969963 	4047323 	4315869 	3204786 	3504825 	5915739 	5217632 	5032624 	2678396 	425080 	458548 	609320 	734123 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,CH	7533544 	8293885 	7219489 	7380562 	7346354 	7510470 	7060628 	7558123 	7597822 	8360979 	8173485 	: 	: 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,CY	1870735 	1598378 	1641669 	1889420 	1924813 	1963743 	2121513 	2245655 	2433904 	2848424 	2460434 	2282792 	2283037 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,CZ	37378507 	34972909 	38093626 	32376462 	35465802 	39893468 	36839106 	36663243 	25325858 	28583736 	34499908 	26463000 	29571530 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,DE	214345482 	216828807 	200696410 	215572105 	210294432 	200578738 	207263328 	213447288 	131341106 	159130775 	168214422 	195006774 	207766094 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,DK	28244255 	31295329 b	31314209 	32332248 	28403517 	24546396 	14980715 	4501043 	4311617 	3202976 	3490123 	3260383 	4332457 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,EE	251287 	303140 	545595 	529812 	547133 	578188 	713145 	682947 	386951 	391077 	429505 	577282 	640224 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,EL	5779994 	3288418 	3900738 	3620037 	3375073 	3507429 	3750924 	3242818 	2766468 	2937346 	3962586 	3765723 	3650046 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,ES	37533903 	37269728 	39656981 	29409852 b	30460057 	34005296 	35022241 	36497337 	15589639 	23309588 	30911050 	31122430 	34962214 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,FI	8266876 	7812315 	7670487 	8119319 	8282878 	8204536 	8284097 	7998513 	5276633 	7043176 	6719803 	6681970 	8065301 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,FR	206909717 	203557046 	204847066 	179351195 	176986811 	204016311 	196956209 	197708159 	35359167 	58463179 	68647271 	46344070 	42594350 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,HR	7119486 	6874447 	1016218 	638971 	3061201 	437020 	3299023 	588742 	349120 	3355387 	3175050 	3921118 	4543002 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,HU	20759489 	16948852 	18374019 	5250707 	5136862 	4826318 	4629224 	4696158 	2382818 	12394659 	16233264 	15943735 	16748457 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,IE	9317768 	9238520 	10046863 	10040794 	10580401 	10936902 	12545439 	13064291 	8413575 	6151795 	14948299 	14103297 	19183006 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,IT	52339819 	39524206 	44230428 b	41249570 	50532996 	46691994 	55830409 	49505251 	27201523 	27022429 	39836443 	36038386 	31090848 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,LT	3799279 	3630209 	3930677 	3932682 	3685924 	3747548 	3854272 	4082031 	3508804 	4583891 	5367549 	5921942 	6995459 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,LU	: u	69594 	42485 	25773 u	21539 u	77974 	54880 	: u	175453 	173612 	173108 	222587 	162362 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,LV	739914 	713868 	664272 	671661 	608495 	585681 	499014 	512744 	170072 	391574 	536035 	514626 	529350 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,ME	: 	: 	: 	: 	1234620 	1231961 	: 	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,MK	: 	: 	: 	: 	: 	: 	: 	34462 	26574 u	38545 u	: 	: 	: 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,MT	335740 	328693 	344477 b	106974 	83630 	425450 	413284 	74637 	80671 	100365 	129985 	143043 	149292 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,NL	8609744 	7045134 	7153674 	6614037 	6310722 	6743105 	6722729 	7367329 	5044276 	8100753 	6870764 	7010626 	6727439 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,NO	: 	17016887 	22353341 	20172976 	19636706 	22042128 	28602062 	: 	: 	29597510 	32545640 	31057468 	7854031 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,PL	52521535 	55786497 	43546428 b	45704262 	50598127 	54834172 	57988524 	60609611 	44692019 	53850610 	61969441 	64780692 	65682583 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,PT	3531093 	5757522 	15986507 	4752262 	4728072 	13583410 	4858621 	5803752 	2906966 	3951250 	5022093 	21388318 	4757652 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,RO	4039375 	4161800 	4168145 	4457445 	4418869 	4814895 	4402902 	4597564 	2384734 	4099600 	4127007 	4627428 	4209637 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,RS	: 	: 	: 	: 	: 	: 	126777 u	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,SE	: 	: 	37934902 	40621612 	42854443 	49346729 	46949906 	48411494 	68249072 	68668300 	81497780 	: 	83478896 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,SI	683238 	603725 	629558 	699740 	693049 	2663542 	3198757 	2500822 	1756532 	863021 	665833 	957399 	818012 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,SK	5215880 	6736614 b	6866945 	8167843 	9862592 	10512653 	11281127 	12457676 	6798525 	6858467 	10710040 	11144632 	11017711 
A,N1-3,TOTAL,DOM,INAC_OTH,NR,UK	144175980 	141502309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,AL	: 	: 	: 	: 	: 	788797 	: 	725059 	505989 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,AT	140116 u	207152 u	180260 u	210790 	181613 u	153948 u	221189 u	293406 	305839 	281488 	224653 u	293181 	473054 
A,N1-3,TOTAL,DOM,UNE,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	118219 u	126092 u	173052 u	106199 u
A,N1-3,TOTAL,DOM,UNE,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	110194 u	110762 u	132242 u	153701 u
A,N1-3,TOTAL,DOM,UNE,NR,DK	: 	: 	: 	: 	: 	: 	: 	319861 u	388075 u	305230 u	235990 u	200176 u	262340 u
A,N1-3,TOTAL,DOM,UNE,NR,EE	173459 u	117223 	139208 	121066 	108910 u	93838 u	199990 u	109764 u	152835 u	141221 u	132085 u	185956 	169394 
A,N1-3,TOTAL,DOM,UNE,NR,ES	16141790 	17260567 	14687997 	21467454 b	18444843 	17605904 	14806610 	14997390 	8947825 	11694777 	12008806 	12816872 	12824637 
A,N1-3,TOTAL,DOM,UNE,NR,FI	1292034 	1628710 	1783628 	1984689 	1956213 	1717583 	1077866 	1407290 	1330805 	1564095 	981049 	781287 	1213505 
A,N1-3,TOTAL,DOM,UNE,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1073687 	1274337 	1436485 	2038825 	2147479 
A,N1-3,TOTAL,DOM,UNE,NR,HR	: 	: 	857677 	713276 	: 	253892 	: 	370493 	309832 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,HU	: 	: 	: 	415807 	384214 	163187 	136940 	111460 	128478 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,LU	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,LV	383816 	355958 	250157 	213649 	301762 	158745 	128220 u	91442 u	79335 u	103161 u	134035 	152813 	130637 
A,N1-3,TOTAL,DOM,UNE,NR,MK	: 	: 	: 	: 	: 	: 	: 	14798 u	32338 u	17483 u	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,MT	: 	: 	: 	: u	: u	: 	: 	8610 u	: u	: u	: u	: u	: u
A,N1-3,TOTAL,DOM,UNE,NR,NL	2537546 	1994223 	2487877 	2230912 	2215153 	1089065 	926275 	1006117 	794449 	772031 	405140 	384912 	636606 
A,N1-3,TOTAL,DOM,UNE,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	997208 
A,N1-3,TOTAL,DOM,UNE,NR,PT	1187630 	1159379 	: 	1126820 	1135241 	339269 	996955 	709518 	569572 	740737 	921674 	: u	581946 
A,N1-3,TOTAL,DOM,UNE,NR,RO	421340 	496448 	382810 	335295 	287094 	223041 	137407 	114553 	118466 	195079 	143911 	137534 u	168582 u
A,N1-3,TOTAL,DOM,UNE,NR,RS	: 	: 	: 	: 	: 	: 	152500 u	: 	: 	: 	: 	: 	: 
A,N1-3,TOTAL,DOM,UNE,NR,SI	234211 	244314 	236608 	109612 u	213177 	: 	: 	: 	: 	128957 	139218 	152955 	66078 u
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	47376 	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	3249221 	5210092 	11086455 	12718185 	12065376 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3242734 	3815372 	7721698 	8881629 	8622324 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	97968 u	69446 u	326815 	499602 	794429 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3256556 	2788590 	6287898 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	267739 	205277 	705873 	945063 	988832 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1573236 	1285648 	3371618 	4465438 	3609240 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	17384133 	20683313 	36666659 	40258783 	49734761 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1687231 	2017071 	3022141 	3592074 	5888006 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	367271 	348758 	862244 	1196280 	1079877 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	102150 	140912 	283331 	297998 	549192 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	2615254 	3501173 	7589045 	8592692 	10704803 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1823724 	1199382 	3955711 	5600079 	5522559 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	6576213 	6464503 	14957720 	17499720 	18516057 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	251660 	306325 	897927 	1412912 	1605433 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	2314558 	2083124 	4103818 	4522466 	4162662 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	699998 	375217 	2181969 	2870767 	4160453 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1680556 	1520778 	3681323 	4193322 	4842140 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	391208 	494290 	743072 	924714 	1058146 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	1060917 	1248046 	1927105 	2310309 	2196626 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	365539 	347384 	974875 	1234130 	1304775 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	46073 u	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	149816 	197276 	352281 	486861 	494747 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	3619832 	5910175 	12287460 	13288561 	12623232 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1251677 	5137845 	4909772 	6147951 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	2367838 	2844350 	5103708 	5759238 	6536193 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	437516 	487965 	1459831 	1965950 	1591979 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	109590 u	157320 u	376583 	527519 	742341 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2171792 	3106246 	7945271 	: 	9564428 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	897102 	1526794 	2208146 	3229705 	3808524 
A,N1-3,TOTAL,EU27_2020_FOR,ACT_INAC,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	1171773 	1157174 	2765513 	3604129 	4024872 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	271729 	406593 	1603934 	1229472 	1308440 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	319661 	778722 	780984 	559082 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	375844 u	480643 u	488283 u	514642 u	972979 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	64702 u	107337 u	94874 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	379944 u	460833 u	572933 u	551068 u	1418881 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	230041 u	: u	369613 u	516532 	571661 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	578219 u	417938 u	1116428 	2040669 	2033533 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	70686 u	76282 u	118250 u
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	11944 u	13310 u	20541 	24136 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	479428 	833902 	1711016 	1504074 	1739274 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	57488 u	46506 u	135250 	: u	212840 
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,N1-3,TOTAL,EU27_2020_FOR,EDUC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	141927 	288995 	380484 	364915 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	25052 u	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2605798 	4151112 	7618470 	9322578 	8719857 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2683056 	5693486 	6547001 	6600759 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	254462 	419534 	670313 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1056308 	1276953 	2047752 	2499350 	4147922 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	295440 	292972 	716460 	994709 	901750 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1747079 	2396817 	5906489 	7099536 	7867743 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1348364 	877059 	2869929 	3924641 	3821186 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	5165666 	4959766 	11147373 	12926536 	14269012 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	165162 	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	292988 	294239 	817294 	1044890 	1067618 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	44935 u	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	130646 	162237 	303603 	409126 	413176 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2547959 	4054615 	8936713 	9961014 	9029091 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4869755 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	345928 	354965 	1077709 	: u	1208390 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	97451 u	127871 u	308730 	401039 	626546 
A,N1-3,TOTAL,EU27_2020_FOR,EMP,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	1101184 	1702253 	2350999 	2961093 
A,N1-3,TOTAL,EU27_2020_FOR,INAC_OTH,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,N1-3,TOTAL,EU27_2020_FOR,INAC_OTH,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	247893 	586945 	1501938 	1917258 	1860750 
A,N1-3,TOTAL,EU27_2020_FOR,INAC_OTH,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3242734 	658797 	1059062 	1354052 	1209618 
