freq,c_dest,purpose,duration,unit,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
A,AFR,PER,N_GE1,NR,BE,356433.0,516204.0,385667.0,369855.0,276777.0,465622.0,549076.0,586740.0,191254.0,177144.0,515681.0,621135.0,650721.0
A,AFR,PER,N_GE1,NR,DE,2390168.0,2555790.0,2825780.0,2290151.0,2033111.0,3325648.0,3987251.0,3544462.0,729950.0,1098279.0,1886404.0,2781634.0,4355127.0
A,AFR,PER,N_GE1,NR,EA20,7958717.0,7428874.0,7710237.0,6460528.0,5259488.0,7732003.0,9154494.0,9593755.0,2448108.0,2553377.0,6858152.0,9752540.0,11894833.0
A,AFR,PER,N_GE1,NR,ES,733954.0,656796.0,690641.0,650571.0,708382.0,879557.0,968123.0,994989.0,179380.0,246596.0,870023.0,1400119.0,1567397.0
A,AFR,PER,N_GE1,NR,EU27_2020,9068139.0,8327976.0,8727926.0,7299112.0,5972021.0,8873900.0,10195826.0,10943253.0,2703376.0,3032620.0,8050399.0,11131213.0,13921178.0
A,AFR,PER,N_GE1,NR,FR,2245070.0,2032762.0,1814139.0,1312792.0,1064414.0,1650645.0,1934819.0,2171213.0,787559.0,509115.0,1730406.0,2666274.0,2895461.0
A,AFR,PER,N_GE1,NR,HU,63103.0,58148.0,53485.0,30920.0,25225.0,60026.0,52652.0,120650.0,9343.0,30609.0,45427.0,70174.0,112266.0
A,AFR,PER,N_GE1,NR,LT,21046.0,19542.0,38079.0,28291.0,26232.0,40596.0,70707.0,76406.0,18086.0,28048.0,55823.0,69131.0,69687.0
A,AFR,PER,N_GE1,NR,LU,33298.0,36851.0,36030.0,25566.0,27174.0,36674.0,42521.0,41265.0,21179.0,30272.0,69330.0,74987.0,72472.0
A,AFR,PER,N_GE1,NR,NL,554743.0,465282.0,462173.0,429402.0,339305.0,496163.0,520143.0,593072.0,140260.0,109699.0,390767.0,471889.0,617704.0
A,AFR,PER,N_GE1,NR,PL,334463.0,332689.0,414547.0,414413.0,204979.0,233302.0,302155.0,333350.0,71641.0,144261.0,314128.0,438329.0,590330.0
A,AFR,PER,N_GE1,NR,PT,73038.0,65525.0,61426.0,63692.0,47120.0,82724.0,127621.0,114187.0,21272.0,20359.0,141471.0,153667.0,182271.0
A,AFR,PER,N_GE4,NR,BE,349145.0,510511.0,378970.0,368696.0,269281.0,436491.0,520134.0,563890.0,185808.0,174234.0,479775.0,602976.0,634474.0
A,AFR,PER,N_GE4,NR,DE,2390168.0,2426529.0,2776903.0,2251664.0,2033111.0,3228314.0,3987251.0,3474138.0,729950.0,1048468.0,1794457.0,2730429.0,4344125.0
A,AFR,PER,N_GE4,NR,EA20,7674682.0,7030756.0,7354632.0,6170315.0,4988816.0,7313839.0,8815841.0,9112478.0,2372513.0,2459669.0,6468083.0,9146475.0,11169363.0
A,AFR,PER,N_GE4,NR,ES,561226.0,510750.0,515314.0,528236.0,559660.0,692230.0,788365.0,789283.0,161690.0,241702.0,753312.0,1236049.0,1271189.0
A,AFR,PER,N_GE4,NR,EU27_2020,8774345.0,7923400.0,8363903.0,6997595.0,5697589.0,8431707.0,9839809.0,10425427.0,2617673.0,2938913.0,7659198.0,10522860.0,13110822.0
A,AFR,PER,N_GE4,NR,FR,2172650.0,1997858.0,1750638.0,1279886.0,1032093.0,1593935.0,1828046.0,2048666.0,748190.0,478807.0,1645044.0,2428455.0,2615896.0
A,AFR,PER,N_GE4,NR,HU,63103.0,58148.0,53102.0,30516.0,25225.0,60026.0,52652.0,120314.0,9343.0,30609.0,45427.0,70174.0,112266.0
A,AFR,PER,N_GE4,NR,LT,19268.0,18762.0,37712.0,28291.0,26232.0,40596.0,70707.0,74451.0,17948.0,27353.0,55823.0,66159.0,69581.0
A,AFR,PER,N_GE4,NR,LU,32367.0,36541.0,35027.0,25258.0,27174.0,34562.0,42021.0,39391.0,20658.0,30037.0,67694.0,74084.0,71124.0
A,AFR,PER,N_GE4,NR,NL,547574.0,445770.0,454669.0,421744.0,333304.0,490404.0,511298.0,560406.0,135300.0,109699.0,376467.0,464574.0,598751.0
A,AFR,PER,N_GE4,NR,PL,331293.0,332689.0,412881.0,413423.0,204676.0,232073.0,294780.0,330307.0,71641.0,144261.0,312995.0,437085.0,589091.0
A,AFR,PER,N_GE4,NR,PT,66483.0,65190.0,59687.0,61099.0,41782.0,78924.0,125435.0,110948.0,18770.0,20359.0,138946.0,149947.0,171352.0
A,AFR,PER_VFR,N_GE1,NR,EA20,1018446.0,1262539.0,1592193.0,1671020.0,1106540.0,1358612.0,1278313.0,1705855.0,399964.0,859068.0,1531452.0,2130719.0,2439567.0
A,AFR,PER_VFR,N_GE1,NR,ES,418343.0,420181.0,434178.0,405733.0,436077.0,469739.0,488987.0,441394.0,96185.0,200571.0,484296.0,753861.0,916476.0
A,AFR,PER_VFR,N_GE1,NR,EU27_2020,1063523.0,1274717.0,1626727.0,1700605.0,1165246.0,1537591.0,1346986.0,1902537.0,440923.0,883025.0,1614043.0,2218660.0,2489407.0
