freq,c_dest,purpose,duration,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,AFR,PER,N1-3,NR,AT	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,BE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,CH	: 	: u	: u	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER,N1-3,NR,CY	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,DE	: 	: u	: u	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,DK	: 	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,EA20	641155 	847094 	799033 	665746 	632566 	999337 	719225 	1042820 	172376 	: u	927701 	1429761 	1541083 
A,AFR,PER,N1-3,NR,EE	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,ES	372733 	288960 	364335 	237412 b	324711 	370319 	340597 	368472 	36486 u	: u	293615 	325333 	604828 
A,AFR,PER,N1-3,NR,EU27_2020	659178 e	855675 e	813138 	684313 	636627 	1035528 	757950 	1108768 	197996 	: u	930629 	1436335 e	1742459 
A,AFR,PER,N1-3,NR,FI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,FR	: u	: u	: u	: u	: u	: u	246924 u	305309 u	: u	: u	: u	643361 u	580753 
A,AFR,PER,N1-3,NR,HR	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,HU	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,IE	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 
A,AFR,PER,N1-3,NR,IT	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,LT	: u	: u	: u	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u
A,AFR,PER,N1-3,NR,LU	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,AFR,PER,N1-3,NR,MT	: u	: u	: 	: 	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER,N1-3,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,NO	: 	: u	: 	: u	: u	: u	: u	: 	: 	: u	: 	: 	: 
A,AFR,PER,N1-3,NR,PL	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,PT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PER,N1-3,NR,RO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N1-3,NR,SE	: 	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u
A,AFR,PER,N1-3,NR,SI	: 	: u	: u	: u	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,AFR,PER,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,AFR,PER,N1-3,NR,UK	138490 u	141057 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,AT	1798115 	2087871 	2916006 	2422657 	1459525 	2487708 	2694851 	2995105 	600765 u	: u	3823264 	4211275 	4037820 
A,AFR,PER,N_GE1,NR,BE	4182871 	7470024 	5655249 	6975349 	4546399 	6637681 b	7218728 	8676942 	3448056 	3520803 	7414706 	8715614 	12554351 
A,AFR,PER,N_GE1,NR,BG	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE1,NR,CH	3683811 	3771583 	3339158 	4380946 u	3552903 u	5167157 	5454847 	6164474 	3278069 u	2887132 u	2482449 u	: 	: 
A,AFR,PER,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	221420 u	: u
A,AFR,PER,N_GE1,NR,CZ	2979594 	2361567 	2256410 	1588799 	1520704 u	3278724 	3313657 	3615983 	: u	1516606 	4735558 	4389744 	4780817 
A,AFR,PER,N_GE1,NR,DE	26826257 	33709675 	38347653 	30264167 	25713472 	42641813 	53207799 	43970944 	8611317 u	14919020 u	22232428 	31962794 	49902708 
A,AFR,PER,N_GE1,NR,DK	2237473 	1297699 bu	1313677 u	1134623 u	1362132 u	1108111 u	784352 u	1497178 u	: u	: u	1043699 u	1293736 u	2334677 u
A,AFR,PER,N_GE1,NR,EA20	90685992 	99159995 	103831475 	93804769 	71782246 	99683852 	117286513 	113976385 	29142586 	42944630 	87341554 	117598304 	139760826 
A,AFR,PER,N_GE1,NR,EE	340848 u	196377 u	197526 u	319166 u	: u	184274 u	404953 u	326840 u	270271 u	246624 u	315682 u	472048 	431911 u
A,AFR,PER,N_GE1,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	113052 u
A,AFR,PER,N_GE1,NR,ES	9951561 	11015249 	10431593 	8637103 b	12204749 	13326118 	13987973 	10808073 	2379100 	6821497 	14465720 	20995767 	22520122 
A,AFR,PER,N_GE1,NR,EU27_2020	101774148 e	108236499 e	113462188 	102323239 	79831716 	111429616 	127127693 	126304627 	32044215 	47142298 	97599416 	128944956 e	157948719 
A,AFR,PER,N_GE1,NR,FI	1039189 bu	954165 u	: u	: u	: u	: u	: u	1324415 u	: u	: u	1664039 u	: u	2831117 u
A,AFR,PER,N_GE1,NR,FR	26151898 	27428065 	22972897 	17361254 	16017235 	19531308 	23347134 	23772837 	8177445 	6256110 	20133874 	29000654 	26101587 
A,AFR,PER,N_GE1,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE1,NR,HU	543071 	564413 	511872 	326596 	252510 	565938 	456559 	1030254 	90766 u	320459 	511381 	600000 	909529 
A,AFR,PER,N_GE1,NR,IE	874692 u	807061 	1156013 	897223 	884751 u	797081 u	694030 u	933625 u	429160 u	: u	1265814 u	: u	: u
A,AFR,PER,N_GE1,NR,IT	9107308 	6348815 	12116117 bu	18716337 u	3341169 u	: u	4204499 u	9010447 u	: u	: u	5315984 u	7866391 	5202314 
A,AFR,PER,N_GE1,NR,LT	186256 	157743 	306949 	243781 	240821 	350541 	569916 	588941 	177013 	226153 	562634 	595114 	562086 
A,AFR,PER,N_GE1,NR,LU	413633 	493008 	439149 	317081 	347962 	481717 	454746 	469460 	265793 	457217 	843265 	946293 	846868 
A,AFR,PER,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	245217 u	512008 u	561379 u
A,AFR,PER,N_GE1,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,AFR,PER,N_GE1,NR,MT	66062 	93410 	: u	: u	: u	: u	60498 u	72044 u	: u	: u	: u	63761 u	103108 u
A,AFR,PER,N_GE1,NR,NL	6860639 b	6032648 	6218027 	5425599 	4485143 	7152866 	6821786 	7200720 	1616720 	1937809 	6196732 	7102738 	8551820 
A,AFR,PER,N_GE1,NR,NO	: 	1341141 u	1103434 u	1487950 u	1254067 u	1251249 u	1329806 u	: 	: 	: u	: u	: u	1574741 u
A,AFR,PER,N_GE1,NR,PL	3472968 	2997702 	3704511 b	3775372 	1880078 	2211132 	2694926 	2945067 	646992 	1206958 	2568497 	3629072 	5002048 
A,AFR,PER,N_GE1,NR,PT	620367 	1080348 	734257 	724558 	577245 	756115 	1500963 	1037239 	278185 u	385823 u	1454172 	1497344 	1848627 
A,AFR,PER,N_GE1,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: u	211367 u	152966 u	153621 u	133282 u
A,AFR,PER,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE1,NR,SE	: 	: 	1816052 u	1679999 u	3034045 u	4530466 	2572794 	2987156 	: u	: u	: u	: 	: u
A,AFR,PER,N_GE1,NR,SI	220546 u	186751 u	176059 u	: u	: u	: u	196752 u	: u	: u	: u	323682 u	409302 u	293402 u
A,AFR,PER,N_GE1,NR,SK	1543811 u	: u	: u	: u	: u	: u	753491 u	1878047 u	: u	: u	671661 u	1347008 u	1590508 u
A,AFR,PER,N_GE1,NR,UK	35802432 	33908493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,AT	1786398 	2084705 	2916006 	2410879 	1457466 	2481739 	2689826 	2963179 	600765 u	: u	3793350 	4203875 	4009355 
A,AFR,PER,N_GE4,NR,BE	4164612 	7453783 	5639167 	6971870 	4525388 	6559236 b	7145665 	8610741 	3435371 	3512074 	7369804 	8679791 	12513604 
A,AFR,PER,N_GE4,NR,BG	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,CH	3683811 	3759543 	3332800 	4380946 u	3552903 u	5167157 	5454847 	6140061 	3278069 u	2887132 u	2454991 u	: 	: 
A,AFR,PER,N_GE4,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,CZ	2979594 	2361567 	2256410 	1588799 	1520704 u	3278724 	3313657 	3615983 	: u	1516606 	4735558 	4389744 	4728906 
A,AFR,PER,N_GE4,NR,DE	26826257 	33453666 	38248784 	30148705 	25713472 	42359177 	53207799 	43830296 	8611317 u	14769587 u	21990132 	31860384 	49869701 
A,AFR,PER,N_GE4,NR,DK	2237473 	1297699 bu	1313677 u	1134623 u	1358676 u	1099091 u	784352 u	1473633 u	: u	: u	1043699 u	1293736 u	2284431 u
A,AFR,PER,N_GE4,NR,EA20	90044837 	98312901 	103032442 	93139023 	71149680 	98684514 	116567287 	112933565 	28970210 	42696920 	86413853 	116168543 	138219743 
A,AFR,PER,N_GE4,NR,EE	340848 u	196377 u	197526 u	316738 u	: u	184274 u	404953 u	326840 u	270271 u	246624 u	315682 u	468993 	428772 u
A,AFR,PER,N_GE4,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	109165 u
A,AFR,PER,N_GE4,NR,ES	9578828 	10726290 	10067258 	8399691 b	11880038 	12955800 	13647376 	10439602 	2342614 u	6810926 	14172104 	20670434 	21915294 
A,AFR,PER,N_GE4,NR,EU27_2020	101114970 e	107380824 e	112649050 	101638926 	79195088 	110394088 	126369742 	125195859 	31846219 	46894587 	96668788 	127508621 e	156206260 
A,AFR,PER,N_GE4,NR,FI	1039189 bu	954165 u	: u	: u	: u	: u	: u	1324415 u	: u	: u	1664039 u	: u	2831117 u
A,AFR,PER,N_GE4,NR,FR	25974347 	27335946 	22830168 	17273604 	15935407 	19385169 	23100211 	23467528 	8086946 	6192389 	19933857 	28357293 	25520834 
A,AFR,PER,N_GE4,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,AFR,PER,N_GE4,NR,HU	543071 	564413 	511209 	325788 	252510 	565938 	456559 	1029246 	90766 u	320459 	511381 	600000 	909529 
A,AFR,PER,N_GE4,NR,IE	874692 u	790298 	1141419 	886522 u	882932 u	797081 u	692000 u	930765 u	422003 u	: u	1241170 u	: u	: u
A,AFR,PER,N_GE4,NR,IT	9087256 	6238589 	11989641 bu	18570194 u	3191963 u	: u	4190165 u	9010447 u	: u	: u	5273807 u	7617076 u	5020367 u
A,AFR,PER,N_GE4,NR,LT	182639 	155987 	305849 	243781 	240821 	350541 	569916 	584693 	176600 	225457 	562634 	589001 	561767 
A,AFR,PER,N_GE4,NR,LU	411410 	492200 	436257 	316158 	347962 	477302 	453246 	463837 	264228 	456748 	839993 	943584 	843147 
A,AFR,PER,N_GE4,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	245217 u	494301 u	561379 u
A,AFR,PER,N_GE4,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,AFR,PER,N_GE4,NR,MT	65078 	93112 	: u	: u	: u	: u	59076 u	71496 u	: u	: u	: u	63539 u	101984 u
A,AFR,PER,N_GE4,NR,NL	6840900 b	5979643 	6195515 	5402623 	4472243 	7137610 	6802272 	7111526 	1605822 	1937809 	6156153 	7083993 	8519704 
A,AFR,PER,N_GE4,NR,NO	: 	1334265 u	1103434 u	1477834 u	1228668 u	1234880 u	1295523 u	: 	: 	: u	: u	: u	1574741 u
A,AFR,PER,N_GE4,NR,PL	3463458 	2997702 	3699513 b	3772706 	1879472 	2207445 	2675860 	2938151 	646992 	1206958 	2565570 	3625631 	4998577 
A,AFR,PER,N_GE4,NR,PT	611461 	1079679 	730022 	717948 	561233 	746400 	1494757 	1029653 	270678 u	385823 u	1449122 	1488942 	1824541 
A,AFR,PER,N_GE4,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: u	211367 u	152966 u	153621 u	133282 u
