freq,c_dest,purpose,duration,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,AFR,PER,N_GE4,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,AFR,PER,N_GE4,NR,SE	: 	: 	1807608 u	1664905 u	3034045 u	4506982 	2553453 	2954275 u	: u	: u	: u	: 	: u
A,AFR,PER,N_GE4,NR,SI	220546 u	183094 u	173789 u	: u	: u	: u	196752 u	: u	: u	: u	322448 u	406224 u	290458 u
A,AFR,PER,N_GE4,NR,SK	1543811 u	: u	: u	: u	: u	: u	753491 u	1878047 u	: u	: u	671661 u	1344262 u	1590508 u
A,AFR,PER,N_GE4,NR,UK	35663942 	33767436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N1-3,NR,BE	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N1-3,NR,CH	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,CY	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 
A,AFR,PER_VFR,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,EA20	214151 	169539 	275502 	182415 	136086 	291408 	174539 	331575 	: u	: u	295305 	451348 	416401 
A,AFR,PER_VFR,N1-3,NR,ES	177489 	162078 	198045 	140878 b	107213 	135546 	102577 	140318 	: u	: u	89000 	172203 	333137 
A,AFR,PER_VFR,N1-3,NR,EU27_2020	216367 e	171772 e	277700 	187649 	136086 	296945 	182771 	382688 	: u	: u	295305 	451348 e	416401 
A,AFR,PER_VFR,N1-3,NR,FI	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,FR	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,IE	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,IT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: u	: 
A,AFR,PER_VFR,N1-3,NR,LT	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N1-3,NR,LU	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N1-3,NR,MT	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,NL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N1-3,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,PT	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,SE	: 	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,SI	: 	: u	: u	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,AFR,PER_VFR,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,AFR,PER_VFR,N1-3,NR,UK	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,BE	: u	2305126 	2371701 	2428389 	1337681 	2650824 b	2071442 	4397039 	1889986 u	2272552 u	3455210 	3005494 	5392938 
A,AFR,PER_VFR,N_GE1,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,DK	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,EA20	18939062 	23893770 	27579589 	34941804 	20882465 	22003536 	21795729 	26749185 	7360629 	21671826 	27271593 	37639888 	38423781 
A,AFR,PER_VFR,N_GE1,NR,EE	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,EL	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,ES	7261081 	8727262 	7993828 	6708834 b	10075325 	9142704 	9846367 	6518547 	1813798 u	6185351 u	11453494 	15370587 	17567635 
A,AFR,PER_VFR,N_GE1,NR,EU27_2020	19719817 e	24163037 e	28142202 	35329336 	21909086 	24499412 	22715233 	28862838 	7908913 	21905422 	28242984 	38680689 e	39415390 
A,AFR,PER_VFR,N_GE1,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,FR	4440911 	6307835 	5505990 	4883630 	4168345 	3819007 	3904181 	3555864 	: u	: u	2621713 u	5635946 	3381646 
A,AFR,PER_VFR,N_GE1,NR,HR	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,HU	57309 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,LT	74716 	: u	: 	: 	: u	: 	: u	35155 u	72878 u	18556 u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,LU	: u	116313 u	: u	: u	: u	123068 u	: u	161439 u	: u	250282 u	262777 	418562 	306389 
A,AFR,PER_VFR,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,MT	22882 u	49653 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	856376 u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,PL	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u	: u	53642 u	: u
A,AFR,PER_VFR,N_GE1,NR,PT	: u	493884 u	: u	: u	: u	: u	602699 u	: u	: u	: u	: u	433702 u	626847 u
A,AFR,PER_VFR,N_GE1,NR,RO	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N_GE1,NR,SE	: 	: 	: u	: u	: u	2350115 u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,SI	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,SK	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 
A,AFR,PER_VFR,N_GE1,NR,UK	16776388 	14731052 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,BE	: u	2303446 	2357275 	2428389 	1319626 	2601471 b	2018031 	4395866 	1877300 u	2263823 u	3444137 	2985741 	5375106 
A,AFR,PER_VFR,N_GE4,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,CY	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,DK	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,EA20	18724911 	23724231 	27304087 	34759389 	20746379 	21712128 	21621190 	26417610 	7334127 	21648018 	26976288 	37188540 	38007380 
A,AFR,PER_VFR,N_GE4,NR,EE	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,EL	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,ES	7083592 	8565184 	7795783 	6567956 b	9968112 	9007158 	9743790 	6378229 	: u	6183296 u	11364494 	15198384 	17234497 
A,AFR,PER_VFR,N_GE4,NR,EU27_2020	19503451 e	23991264 e	27864502 	35141687 	21773001 	24202467 	22532462 	28480151 	7873011 	21881615 	27947679 	38229341 e	38998988 
A,AFR,PER_VFR,N_GE4,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,FR	4419520 	6307835 	5455536 	4854583 	4157527 	3773647 	3885629 	3512463 	: u	: u	2584723 u	5521722 	3317177 
A,AFR,PER_VFR,N_GE4,NR,HR	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,HU	57309 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,LT	71725 u	: u	: 	: 	: u	: 	: u	: u	72878 u	18556 u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,LU	: u	116313 u	: u	: u	: u	: u	: u	157658 u	: u	250282 u	259506 	418562 	305746 
A,AFR,PER_VFR,N_GE4,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,MT	22565 u	49538 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	839883 u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,PL	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u	: u	53642 u	: u
A,AFR,PER_VFR,N_GE4,NR,PT	: u	493884 u	: u	: u	: u	: u	602699 u	: u	: u	: u	: u	433702 u	626847 u
A,AFR,PER_VFR,N_GE4,NR,RO	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N_GE4,NR,SE	: 	: 	: u	: u	: u	2344578 u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,SI	: u	: 	: 	: 	: 	: u	: 	: u	: u	: 	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,SK	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,UK	16749282 	14704297 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,AT	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,BE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PROF,N1-3,NR,CH	: u	: u	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,CY	: u	: u	: u	: u	: 	: u	: 	: u	: 	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,CZ	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,DE	: u	: u	: 	: u	: u	: u	: u	: 	: 	: 	: u	: 	: u
